menu,price,order_time
감자튀김,5192,2024-12-30 07:18:56
떡볶이,21509,2024-12-30 15:00:56
감자튀김,10029,2024-12-30 13:41:56
감자튀김,20901,2024-12-30 13:57:56
감자튀김,8133,2024-12-29 19:37:56
떡볶이,29815,2024-12-29 18:00:56
떡볶이,1116,2024-12-30 05:55:56
감자튀김,6142,2024-12-29 23:33:56
감자튀김,4232,2024-12-29 19:50:56
감자튀김,7824,2024-12-30 09:14:56
떡볶이,5266,2024-12-30 09:59:56
떡볶이,15436,2024-12-30 10:31:56
감자튀김,5645,2024-12-29 23:55:56
감자튀김,27764,2024-12-30 09:45:56
떡볶이,1234,2024-12-30 09:34:56
감자튀김,9311,2024-12-30 04:47:56
떡볶이,25341,2024-12-30 17:13:56
감자튀김,23803,2024-12-30 14:57:56
떡볶이,12272,2024-12-30 04:09:56
닭강정,2497,2024-12-30 13:23:56
감자튀김,21694,2024-12-30 08:58:56
닭강정,17400,2024-12-30 00:09:56
감자튀김,3541,2024-12-30 12:20:56
감자튀김,27985,2024-12-30 00:04:56
감자튀김,21076,2024-12-30 02:46:56
감자튀김,26150,2024-12-30 00:17:56
닭강정,13352,2024-12-30 00:13:56
떡볶이,8571,2024-12-29 23:27:56
감자튀김,6577,2024-12-30 16:34:56
떡볶이,8757,2024-12-30 04:21:56
떡볶이,14885,2024-12-30 04:32:56
떡볶이,7985,2024-12-30 16:01:56
떡볶이,22666,2024-12-30 07:04:56
떡볶이,14172,2024-12-30 17:15:56
감자튀김,11624,2024-12-30 06:16:56
감자튀김,29715,2024-12-30 06:15:56
감자튀김,23162,2024-12-30 15:59:56
감자튀김,1020,2024-12-30 06:10:56
감자튀김,12761,2024-12-30 05:01:56
감자튀김,20864,2024-12-30 13:32:56
닭강정,16407,2024-12-30 06:55:56
닭강정,5688,2024-12-30 04:21:56
떡볶이,14744,2024-12-30 01:52:56
감자튀김,19402,2024-12-30 03:38:56
닭강정,10243,2024-12-29 22:05:56
떡볶이,17031,2024-12-30 02:29:56
감자튀김,5298,2024-12-30 15:45:56
닭강정,28698,2024-12-30 14:08:56
감자튀김,6062,2024-12-30 06:04:56
닭강정,19165,2024-12-30 05:33:56
닭강정,9137,2024-12-30 16:25:56
닭강정,27024,2024-12-30 06:44:56
감자튀김,25525,2024-12-29 20:43:56
닭강정,12692,2024-12-29 18:56:56
닭강정,25140,2024-12-30 01:41:56
닭강정,5185,2024-12-29 22:24:56
닭강정,6981,2024-12-30 13:30:56
닭강정,13683,2024-12-30 02:17:56
떡볶이,19172,2024-12-30 09:37:56
닭강정,24634,2024-12-30 17:03:56
닭강정,28826,2024-12-30 06:13:56
감자튀김,3966,2024-12-30 04:32:56
닭강정,18523,2024-12-30 16:38:56
떡볶이,16647,2024-12-30 11:11:56
떡볶이,8302,2024-12-30 11:29:56
닭강정,14081,2024-12-30 04:26:56
닭강정,2209,2024-12-30 12:10:56
감자튀김,26277,2024-12-30 09:14:56
떡볶이,7739,2024-12-30 07:35:56
감자튀김,22430,2024-12-30 02:23:56
떡볶이,23337,2024-12-30 15:49:56
감자튀김,3061,2024-12-30 09:01:56
닭강정,29896,2024-12-30 07:11:56
감자튀김,23622,2024-12-30 05:35:56
닭강정,12756,2024-12-30 03:39:56
떡볶이,8686,2024-12-29 17:23:56
닭강정,14795,2024-12-29 21:59:56
떡볶이,26225,2024-12-30 12:12:56
감자튀김,29054,2024-12-30 08:46:56
닭강정,5017,2024-12-30 05:12:56
떡볶이,15207,2024-12-30 00:28:56
닭강정,12674,2024-12-30 11:29:56
감자튀김,1449,2024-12-29 22:38:56
감자튀김,11018,2024-12-30 10:04:56
닭강정,26406,2024-12-30 02:48:56
떡볶이,22906,2024-12-30 08:32:56
감자튀김,24136,2024-12-29 23:37:56
떡볶이,17650,2024-12-30 16:01:56
떡볶이,21452,2024-12-30 10:31:56
떡볶이,25192,2024-12-30 14:15:56
닭강정,12752,2024-12-30 03:59:56
감자튀김,4781,2024-12-30 06:03:56
떡볶이,27625,2024-12-30 07:20:56
떡볶이,24847,2024-12-30 07:40:56
닭강정,6055,2024-12-29 18:40:56
감자튀김,4681,2024-12-30 00:58:56
감자튀김,17748,2024-12-30 05:05:56
감자튀김,25577,2024-12-30 11:06:56
떡볶이,22548,2024-12-30 09:10:56
감자튀김,29857,2024-12-29 18:32:56
