menu,price,order_time
케이크,4816,2024-12-30 15:59:56
카푸치노,25689,2024-12-30 12:42:56
케이크,3114,2024-12-30 04:13:56
카푸치노,24224,2024-12-30 00:37:56
카푸치노,22244,2024-12-30 07:19:56
카푸치노,16047,2024-12-30 08:10:56
아메리카노,26928,2024-12-30 16:12:56
카푸치노,27418,2024-12-30 11:49:56
아메리카노,8274,2024-12-30 05:03:56
아메리카노,21274,2024-12-29 23:07:56
케이크,25934,2024-12-29 20:41:56
아메리카노,3590,2024-12-30 07:17:56
카푸치노,24498,2024-12-30 02:16:56
카푸치노,16896,2024-12-29 17:26:56
카푸치노,26643,2024-12-30 11:31:56
카푸치노,14242,2024-12-30 04:30:56
카푸치노,28435,2024-12-30 11:52:56
아메리카노,14648,2024-12-30 08:59:56
아메리카노,9870,2024-12-30 04:39:56
케이크,4928,2024-12-29 22:42:56
아메리카노,24198,2024-12-30 16:46:56
아메리카노,24710,2024-12-30 00:18:56
케이크,12530,2024-12-30 12:33:56
카푸치노,24880,2024-12-29 17:46:56
카푸치노,15953,2024-12-30 02:51:56
케이크,8098,2024-12-29 21:00:56
케이크,27008,2024-12-29 21:04:56
아메리카노,29481,2024-12-30 12:33:56
카푸치노,29238,2024-12-30 01:18:56
케이크,21182,2024-12-29 19:21:56
케이크,17800,2024-12-30 10:09:56
아메리카노,16911,2024-12-30 16:06:56
케이크,11104,2024-12-30 04:28:56
카푸치노,22629,2024-12-30 10:22:56
아메리카노,23426,2024-12-29 23:28:56
아메리카노,26074,2024-12-30 14:06:56
아메리카노,3502,2024-12-30 06:27:56
아메리카노,12587,2024-12-30 13:26:56
케이크,16335,2024-12-30 10:34:56
카푸치노,8288,2024-12-30 13:55:56
카푸치노,6923,2024-12-30 11:55:56
케이크,5157,2024-12-30 05:00:56
아메리카노,21431,2024-12-30 00:33:56
케이크,1776,2024-12-30 13:10:56
아메리카노,27377,2024-12-29 22:44:56
아메리카노,13303,2024-12-30 15:58:56
카푸치노,18962,2024-12-29 18:52:56
카푸치노,22097,2024-12-30 12:12:56
케이크,4172,2024-12-30 03:11:56
케이크,6699,2024-12-30 02:55:56
카푸치노,15900,2024-12-30 16:19:56
카푸치노,14235,2024-12-29 18:00:56
아메리카노,15948,2024-12-29 17:37:56
카푸치노,1488,2024-12-30 08:21:56
케이크,20292,2024-12-29 20:16:56
케이크,15974,2024-12-30 01:06:56
케이크,8661,2024-12-30 09:51:56
케이크,24860,2024-12-30 13:37:56
아메리카노,12370,2024-12-29 22:16:56
케이크,20609,2024-12-29 19:17:56
케이크,14056,2024-12-30 10:16:56
케이크,17513,2024-12-30 08:17:56
아메리카노,5181,2024-12-30 04:10:56
카푸치노,6294,2024-12-30 12:45:56
카푸치노,13021,2024-12-30 12:50:56
카푸치노,21747,2024-12-30 14:56:56
아메리카노,27624,2024-12-29 21:01:56
아메리카노,15581,2024-12-29 19:21:56
아메리카노,29695,2024-12-30 08:56:56
아메리카노,19444,2024-12-30 14:22:56
아메리카노,11482,2024-12-30 00:34:56
카푸치노,9990,2024-12-30 07:25:56
케이크,4133,2024-12-30 05:22:56
아메리카노,20154,2024-12-30 00:37:56
카푸치노,29979,2024-12-30 07:22:56
케이크,5612,2024-12-30 08:25:56
아메리카노,15840,2024-12-30 08:08:56
케이크,1643,2024-12-30 02:01:56
아메리카노,16010,2024-12-29 19:13:56
카푸치노,23161,2024-12-29 20:10:56
케이크,20380,2024-12-30 13:37:56
카푸치노,18628,2024-12-30 08:09:56
아메리카노,22095,2024-12-30 05:44:56
카푸치노,8157,2024-12-30 00:58:56
케이크,24609,2024-12-29 20:35:56
아메리카노,5682,2024-12-30 04:55:56
카푸치노,7337,2024-12-29 22:21:56
케이크,2152,2024-12-30 17:14:56
카푸치노,8780,2024-12-29 17:47:56
아메리카노,29521,2024-12-30 06:47:56
아메리카노,3376,2024-12-30 13:48:56
아메리카노,13025,2024-12-30 11:12:56
케이크,14774,2024-12-30 00:41:56
아메리카노,1631,2024-12-29 20:08:56
카푸치노,15477,2024-12-30 02:32:56
케이크,5283,2024-12-30 16:06:56
케이크,7277,2024-12-30 00:01:56
아메리카노,19480,2024-12-30 05:03:56
카푸치노,23268,2024-12-29 23:29:56
아메리카노,25003,2024-12-29 19:49:56
