menu,price,order_time
카푸치노,19816,2024-12-29 23:16:56
아메리카노,7285,2024-12-30 12:20:56
카푸치노,9701,2024-12-29 21:33:56
카푸치노,15159,2024-12-30 15:05:56
카푸치노,16845,2024-12-30 02:45:56
아메리카노,21562,2024-12-29 23:16:56
아메리카노,2832,2024-12-30 11:47:56
카푸치노,16611,2024-12-30 16:25:56
케이크,18935,2024-12-29 22:04:56
카푸치노,21063,2024-12-30 08:43:56
카푸치노,7445,2024-12-30 03:13:56
케이크,25965,2024-12-30 03:04:56
아메리카노,14053,2024-12-30 02:15:56
아메리카노,21985,2024-12-30 05:00:56
아메리카노,4804,2024-12-30 09:38:56
케이크,11465,2024-12-29 20:41:56
카푸치노,11766,2024-12-29 18:52:56
아메리카노,3898,2024-12-30 07:09:56
아메리카노,21223,2024-12-29 18:18:56
아메리카노,24282,2024-12-30 14:45:56
케이크,21692,2024-12-30 06:56:56
케이크,10781,2024-12-30 06:25:56
카푸치노,28131,2024-12-30 03:24:56
케이크,5832,2024-12-30 16:33:56
케이크,3164,2024-12-30 13:47:56
카푸치노,9659,2024-12-29 19:29:56
케이크,4694,2024-12-29 22:36:56
케이크,20369,2024-12-30 07:09:56
케이크,19376,2024-12-30 01:00:56
아메리카노,4493,2024-12-29 19:32:56
카푸치노,14144,2024-12-30 04:11:56
아메리카노,6691,2024-12-30 16:22:56
케이크,12043,2024-12-30 06:00:56
아메리카노,16108,2024-12-30 15:46:56
케이크,15357,2024-12-29 20:49:56
아메리카노,17991,2024-12-30 06:42:56
케이크,28064,2024-12-29 21:29:56
아메리카노,15880,2024-12-30 02:03:56
아메리카노,27878,2024-12-29 17:29:56
아메리카노,20843,2024-12-29 17:49:56
카푸치노,19346,2024-12-29 23:52:56
카푸치노,29493,2024-12-29 22:50:56
케이크,24964,2024-12-29 21:29:56
아메리카노,8476,2024-12-30 03:41:56
아메리카노,9997,2024-12-30 11:14:56
아메리카노,12882,2024-12-30 00:22:56
카푸치노,26552,2024-12-30 09:02:56
케이크,28381,2024-12-30 06:03:56
카푸치노,6071,2024-12-30 10:16:56
카푸치노,8749,2024-12-29 18:54:56
케이크,18116,2024-12-29 17:52:56
카푸치노,4173,2024-12-29 21:07:56
카푸치노,18420,2024-12-30 06:56:56
아메리카노,25479,2024-12-30 10:13:56
케이크,18396,2024-12-30 06:09:56
케이크,27237,2024-12-29 17:26:56
아메리카노,9735,2024-12-30 03:16:56
케이크,28809,2024-12-29 20:10:56
케이크,7346,2024-12-30 06:41:56
케이크,19330,2024-12-30 16:58:56
아메리카노,25839,2024-12-29 21:56:56
카푸치노,11181,2024-12-29 18:15:56
아메리카노,5557,2024-12-30 04:15:56
케이크,17626,2024-12-30 12:00:56
케이크,13984,2024-12-30 13:04:56
케이크,17495,2024-12-29 21:03:56
카푸치노,22065,2024-12-30 14:21:56
케이크,28989,2024-12-29 21:29:56
카푸치노,17226,2024-12-29 19:29:56
아메리카노,2582,2024-12-30 16:19:56
케이크,28710,2024-12-30 09:18:56
아메리카노,18184,2024-12-30 09:18:56
카푸치노,2957,2024-12-30 15:22:56
카푸치노,23100,2024-12-30 16:16:56
케이크,9462,2024-12-29 18:38:56
아메리카노,20148,2024-12-30 17:10:56
카푸치노,11378,2024-12-30 15:11:56
카푸치노,18581,2024-12-30 03:59:56
아메리카노,5354,2024-12-30 12:47:56
카푸치노,21545,2024-12-30 12:42:56
카푸치노,26580,2024-12-29 20:43:56
아메리카노,6309,2024-12-30 06:53:56
아메리카노,27048,2024-12-30 14:26:56
케이크,10899,2024-12-30 11:35:56
케이크,12379,2024-12-29 21:12:56
아메리카노,18879,2024-12-29 19:16:56
아메리카노,12830,2024-12-30 13:06:56
케이크,18633,2024-12-30 05:31:56
아메리카노,13834,2024-12-29 21:16:56
카푸치노,19177,2024-12-30 06:39:56
케이크,8456,2024-12-30 02:51:56
케이크,14143,2024-12-30 00:25:56
케이크,21106,2024-12-30 11:42:56
아메리카노,7271,2024-12-29 20:54:56
카푸치노,10454,2024-12-30 03:37:56
케이크,27950,2024-12-30 10:39:56
카푸치노,12617,2024-12-30 14:56:56
카푸치노,22252,2024-12-30 03:36:56
아메리카노,17624,2024-12-30 11:14:56
카푸치노,14737,2024-12-30 14:13:56
