menu,price,order_time
아메리카노,3995,2024-12-29 19:29:57
카푸치노,6299,2024-12-29 23:47:57
케이크,5903,2024-12-30 10:05:57
케이크,15170,2024-12-30 01:40:57
아메리카노,27372,2024-12-30 00:47:57
케이크,20170,2024-12-30 15:27:57
케이크,7960,2024-12-29 17:51:57
카푸치노,1642,2024-12-30 13:42:57
카푸치노,27851,2024-12-30 05:03:57
카푸치노,2894,2024-12-29 17:36:57
아메리카노,28012,2024-12-29 19:00:57
케이크,12729,2024-12-30 05:36:57
케이크,23833,2024-12-30 01:56:57
아메리카노,20331,2024-12-30 01:31:57
카푸치노,12808,2024-12-30 16:05:57
케이크,23256,2024-12-29 19:40:57
케이크,2440,2024-12-30 11:13:57
카푸치노,11662,2024-12-30 06:22:57
아메리카노,8409,2024-12-29 20:40:57
아메리카노,5547,2024-12-29 23:25:57
케이크,3160,2024-12-29 22:08:57
아메리카노,5950,2024-12-30 15:23:57
케이크,4578,2024-12-30 02:46:57
아메리카노,6995,2024-12-30 13:57:57
케이크,24871,2024-12-30 17:05:57
케이크,29815,2024-12-29 19:54:57
카푸치노,28000,2024-12-29 18:33:57
카푸치노,6718,2024-12-30 11:55:57
케이크,13206,2024-12-29 22:28:57
케이크,21889,2024-12-30 08:23:57
아메리카노,23622,2024-12-30 12:48:57
아메리카노,24773,2024-12-30 00:43:57
아메리카노,2784,2024-12-30 05:55:57
케이크,17553,2024-12-29 21:06:57
카푸치노,10137,2024-12-30 10:06:57
카푸치노,29527,2024-12-30 04:30:57
케이크,4040,2024-12-30 16:49:57
카푸치노,17854,2024-12-30 01:51:57
카푸치노,9029,2024-12-29 19:41:57
케이크,23572,2024-12-30 09:55:57
아메리카노,26713,2024-12-30 16:13:57
아메리카노,24814,2024-12-29 17:24:57
카푸치노,23393,2024-12-30 12:11:57
케이크,5597,2024-12-30 16:32:57
카푸치노,29364,2024-12-30 11:36:57
카푸치노,19835,2024-12-30 05:37:57
케이크,4321,2024-12-29 21:10:57
아메리카노,2925,2024-12-30 06:57:57
케이크,8022,2024-12-30 08:55:57
카푸치노,15313,2024-12-29 22:00:57
카푸치노,26332,2024-12-29 19:08:57
아메리카노,20506,2024-12-30 08:43:57
카푸치노,12156,2024-12-30 02:01:57
아메리카노,23091,2024-12-30 00:33:57
케이크,23952,2024-12-30 14:54:57
아메리카노,3600,2024-12-30 04:13:57
케이크,26460,2024-12-29 23:06:57
카푸치노,12762,2024-12-29 22:49:57
케이크,29609,2024-12-30 03:23:57
카푸치노,18373,2024-12-30 06:58:57
케이크,16195,2024-12-30 10:30:57
카푸치노,21205,2024-12-30 07:13:57
카푸치노,1101,2024-12-30 01:52:57
아메리카노,1796,2024-12-29 17:52:57
카푸치노,22367,2024-12-30 08:29:57
아메리카노,21476,2024-12-29 17:32:57
케이크,26356,2024-12-30 13:37:57
카푸치노,26218,2024-12-29 22:00:57
케이크,18656,2024-12-30 04:05:57
카푸치노,2923,2024-12-30 03:20:57
카푸치노,5232,2024-12-30 04:47:57
카푸치노,15196,2024-12-30 00:55:57
아메리카노,13801,2024-12-29 20:15:57
케이크,13441,2024-12-29 22:41:57
아메리카노,5997,2024-12-30 10:53:57
아메리카노,8726,2024-12-30 01:58:57
아메리카노,18400,2024-12-30 03:42:57
아메리카노,6764,2024-12-29 20:44:57
케이크,29666,2024-12-30 11:34:57
아메리카노,15890,2024-12-30 02:04:57
케이크,25151,2024-12-30 00:46:57
아메리카노,20983,2024-12-30 02:11:57
아메리카노,17332,2024-12-30 03:05:57
아메리카노,15089,2024-12-30 11:44:57
케이크,19772,2024-12-30 14:22:57
아메리카노,26171,2024-12-30 03:40:57
케이크,4524,2024-12-30 04:39:57
카푸치노,29560,2024-12-30 12:33:57
아메리카노,22456,2024-12-30 07:30:57
카푸치노,16633,2024-12-30 08:20:57
아메리카노,19012,2024-12-29 23:04:57
아메리카노,16618,2024-12-30 03:36:57
케이크,7633,2024-12-30 00:55:57
카푸치노,24356,2024-12-30 03:52:57
케이크,7399,2024-12-29 19:56:57
카푸치노,6604,2024-12-30 05:17:57
카푸치노,8427,2024-12-30 01:48:57
아메리카노,22652,2024-12-29 23:59:57
아메리카노,1365,2024-12-30 14:53:57
케이크,21277,2024-12-29 21:17:57
