menu,price,order_time
카푸치노,19789,2024-12-30 15:26:56
아메리카노,14547,2024-12-30 02:10:56
카푸치노,23204,2024-12-29 18:08:56
케이크,6121,2024-12-29 18:41:56
카푸치노,21672,2024-12-30 09:25:56
카푸치노,8232,2024-12-30 13:29:56
카푸치노,5809,2024-12-30 14:01:56
카푸치노,18274,2024-12-29 19:22:56
아메리카노,21764,2024-12-29 20:39:56
아메리카노,4990,2024-12-30 00:32:56
아메리카노,27481,2024-12-30 11:26:56
케이크,20250,2024-12-30 00:30:56
카푸치노,11955,2024-12-30 00:50:56
케이크,6742,2024-12-29 20:43:56
아메리카노,12746,2024-12-30 00:11:56
카푸치노,25202,2024-12-30 04:05:56
카푸치노,18203,2024-12-30 11:07:56
아메리카노,14181,2024-12-30 14:37:56
케이크,21361,2024-12-30 09:24:56
카푸치노,14248,2024-12-30 13:13:56
카푸치노,5229,2024-12-30 12:58:56
카푸치노,2589,2024-12-30 06:47:56
아메리카노,2752,2024-12-29 17:27:56
아메리카노,2217,2024-12-30 03:18:56
아메리카노,26489,2024-12-30 07:21:56
케이크,4718,2024-12-30 12:09:56
아메리카노,25566,2024-12-29 22:12:56
아메리카노,27496,2024-12-29 18:59:56
케이크,15113,2024-12-30 08:45:56
아메리카노,23029,2024-12-30 14:53:56
케이크,28703,2024-12-30 10:23:56
카푸치노,6613,2024-12-30 16:37:56
케이크,17092,2024-12-29 18:10:56
카푸치노,9461,2024-12-30 05:04:56
케이크,5684,2024-12-30 16:51:56
아메리카노,29369,2024-12-30 09:01:56
아메리카노,25458,2024-12-30 04:10:56
케이크,5731,2024-12-30 02:28:56
케이크,28143,2024-12-30 00:50:56
아메리카노,21765,2024-12-30 15:35:56
케이크,8364,2024-12-29 21:06:56
카푸치노,4183,2024-12-30 16:54:56
케이크,26113,2024-12-29 22:12:56
카푸치노,19424,2024-12-30 09:08:56
카푸치노,14391,2024-12-30 00:46:56
카푸치노,17693,2024-12-29 19:52:56
카푸치노,28279,2024-12-30 03:36:56
케이크,5762,2024-12-30 01:28:56
카푸치노,4731,2024-12-29 17:26:56
아메리카노,11837,2024-12-30 04:48:56
아메리카노,21969,2024-12-30 13:49:56
아메리카노,6501,2024-12-29 17:54:56
아메리카노,19122,2024-12-29 17:53:56
카푸치노,29244,2024-12-30 13:48:56
카푸치노,14312,2024-12-30 15:19:56
아메리카노,29969,2024-12-30 02:37:56
카푸치노,6434,2024-12-29 22:06:56
카푸치노,29447,2024-12-30 11:37:56
아메리카노,5647,2024-12-29 22:04:56
케이크,1222,2024-12-30 03:03:56
카푸치노,5699,2024-12-29 22:47:56
아메리카노,5747,2024-12-30 10:40:56
아메리카노,7690,2024-12-29 18:21:56
케이크,27307,2024-12-30 07:21:56
아메리카노,4170,2024-12-29 19:07:56
케이크,2083,2024-12-29 17:52:56
아메리카노,5943,2024-12-30 08:34:56
케이크,20337,2024-12-29 20:19:56
케이크,27508,2024-12-30 05:12:56
케이크,13383,2024-12-30 03:17:56
카푸치노,26653,2024-12-29 21:24:56
아메리카노,12499,2024-12-30 03:57:56
케이크,2748,2024-12-30 00:40:56
케이크,19157,2024-12-30 16:46:56
카푸치노,8047,2024-12-29 20:57:56
카푸치노,28773,2024-12-30 12:11:56
케이크,20458,2024-12-29 19:23:56
케이크,13312,2024-12-29 18:50:56
케이크,12510,2024-12-30 13:39:56
케이크,3131,2024-12-30 15:21:56
아메리카노,22445,2024-12-30 16:16:56
아메리카노,13062,2024-12-30 10:45:56
카푸치노,25913,2024-12-30 04:37:56
아메리카노,1259,2024-12-30 00:07:56
카푸치노,18634,2024-12-30 10:24:56
아메리카노,20206,2024-12-30 06:07:56
카푸치노,7177,2024-12-30 02:35:56
케이크,12459,2024-12-29 17:52:56
케이크,10734,2024-12-30 06:06:56
케이크,18007,2024-12-30 15:06:56
케이크,10090,2024-12-29 23:08:56
아메리카노,29409,2024-12-29 21:19:56
케이크,28036,2024-12-30 16:43:56
카푸치노,23965,2024-12-30 06:34:56
케이크,18329,2024-12-30 03:36:56
케이크,22183,2024-12-30 12:38:56
케이크,22482,2024-12-30 14:02:56
케이크,22895,2024-12-30 14:59:56
아메리카노,21453,2024-12-30 11:38:56
아메리카노,17575,2024-12-30 08:19:56
