menu,price,order_time
닭강정,20159,2024-12-30 03:01:57
닭강정,6573,2024-12-30 16:08:57
감자튀김,12524,2024-12-29 19:05:57
닭강정,18490,2024-12-29 22:58:57
떡볶이,13986,2024-12-30 02:05:57
떡볶이,22111,2024-12-30 02:03:57
닭강정,15418,2024-12-29 21:42:57
닭강정,11082,2024-12-30 06:22:57
감자튀김,16693,2024-12-30 11:14:57
감자튀김,10576,2024-12-30 12:38:57
떡볶이,25744,2024-12-30 03:21:57
감자튀김,6224,2024-12-30 15:47:57
떡볶이,3910,2024-12-30 15:06:57
감자튀김,27588,2024-12-30 04:21:57
떡볶이,17022,2024-12-30 14:51:57
감자튀김,2287,2024-12-29 19:29:57
닭강정,21856,2024-12-30 01:09:57
닭강정,10822,2024-12-30 11:01:57
떡볶이,17832,2024-12-30 15:22:57
닭강정,2078,2024-12-30 01:56:57
떡볶이,8702,2024-12-30 15:20:57
감자튀김,20735,2024-12-29 19:05:57
감자튀김,17924,2024-12-29 21:43:57
감자튀김,5035,2024-12-30 10:14:57
닭강정,15605,2024-12-29 23:16:57
떡볶이,18951,2024-12-29 23:33:57
떡볶이,10330,2024-12-29 22:02:57
닭강정,19087,2024-12-30 08:34:57
닭강정,14337,2024-12-29 22:05:57
떡볶이,22679,2024-12-29 21:00:57
떡볶이,2222,2024-12-30 06:11:57
닭강정,18090,2024-12-29 18:08:57
닭강정,25139,2024-12-29 23:51:57
닭강정,10470,2024-12-29 21:52:57
닭강정,6959,2024-12-29 21:48:57
감자튀김,17599,2024-12-30 15:42:57
닭강정,10508,2024-12-30 15:43:57
감자튀김,15924,2024-12-30 04:58:57
감자튀김,23555,2024-12-30 10:53:57
감자튀김,7405,2024-12-29 23:39:57
감자튀김,7481,2024-12-30 07:03:57
닭강정,9334,2024-12-30 12:59:57
닭강정,21227,2024-12-29 20:15:57
떡볶이,9145,2024-12-30 14:05:57
떡볶이,24309,2024-12-29 23:07:57
닭강정,22392,2024-12-30 16:32:57
닭강정,1997,2024-12-30 13:53:57
닭강정,5108,2024-12-29 20:47:57
닭강정,3598,2024-12-30 09:32:57
닭강정,24623,2024-12-29 23:49:57
떡볶이,10047,2024-12-30 14:20:57
떡볶이,28671,2024-12-29 18:53:57
감자튀김,5948,2024-12-30 00:47:57
닭강정,24100,2024-12-30 16:28:57
닭강정,5691,2024-12-30 00:26:57
떡볶이,29540,2024-12-30 16:40:57
닭강정,4881,2024-12-30 16:57:57
떡볶이,1597,2024-12-30 11:45:57
닭강정,5451,2024-12-29 21:29:57
감자튀김,19048,2024-12-29 22:11:57
떡볶이,4740,2024-12-29 19:03:57
감자튀김,8585,2024-12-29 20:53:57
감자튀김,24987,2024-12-29 17:25:57
감자튀김,17809,2024-12-30 11:00:57
떡볶이,11926,2024-12-30 16:18:57
닭강정,28495,2024-12-29 20:37:57
감자튀김,2367,2024-12-30 07:58:57
닭강정,20308,2024-12-30 04:41:57
감자튀김,4415,2024-12-30 10:11:57
닭강정,4145,2024-12-29 20:48:57
닭강정,20905,2024-12-29 23:10:57
감자튀김,13960,2024-12-30 04:21:57
감자튀김,23784,2024-12-29 21:31:57
닭강정,5737,2024-12-30 05:34:57
감자튀김,23356,2024-12-29 19:24:57
닭강정,3463,2024-12-30 13:38:57
닭강정,10958,2024-12-30 01:28:57
닭강정,29665,2024-12-30 07:25:57
감자튀김,4976,2024-12-30 13:19:57
감자튀김,28041,2024-12-29 20:44:57
떡볶이,2130,2024-12-30 03:54:57
닭강정,24758,2024-12-30 04:21:57
닭강정,11392,2024-12-30 12:14:57
떡볶이,17857,2024-12-30 04:23:57
감자튀김,20396,2024-12-30 01:51:57
감자튀김,8265,2024-12-30 14:57:57
닭강정,25058,2024-12-30 17:03:57
감자튀김,17641,2024-12-30 07:35:57
떡볶이,25582,2024-12-29 22:56:57
감자튀김,14224,2024-12-30 12:02:57
떡볶이,4337,2024-12-29 20:59:57
떡볶이,21920,2024-12-30 12:18:57
떡볶이,26768,2024-12-30 04:13:57
떡볶이,22404,2024-12-30 02:39:57
감자튀김,18546,2024-12-30 05:29:57
감자튀김,26790,2024-12-30 07:04:57
떡볶이,27060,2024-12-29 22:23:57
닭강정,8470,2024-12-30 10:10:57
감자튀김,15844,2024-12-30 01:21:57
떡볶이,14066,2024-12-30 06:55:57
