menu,price,order_time
떡볶이,10072,2024-12-30 16:31:56
떡볶이,16949,2024-12-30 14:19:56
떡볶이,6192,2024-12-30 04:53:56
닭강정,10545,2024-12-29 20:55:56
감자튀김,19890,2024-12-29 22:57:56
떡볶이,13276,2024-12-30 12:55:56
감자튀김,17224,2024-12-30 10:04:56
닭강정,20247,2024-12-30 15:18:56
떡볶이,29826,2024-12-30 17:16:56
떡볶이,4314,2024-12-30 10:31:56
떡볶이,19953,2024-12-30 11:41:56
닭강정,25951,2024-12-30 04:30:56
감자튀김,8705,2024-12-29 19:34:56
닭강정,21847,2024-12-30 03:42:56
닭강정,20674,2024-12-29 22:18:56
감자튀김,1419,2024-12-30 04:48:56
감자튀김,17280,2024-12-30 15:31:56
감자튀김,7635,2024-12-29 19:23:56
감자튀김,5236,2024-12-30 01:13:56
감자튀김,29067,2024-12-30 10:53:56
닭강정,17561,2024-12-30 04:46:56
감자튀김,28267,2024-12-30 03:01:56
떡볶이,27357,2024-12-30 07:49:56
감자튀김,29968,2024-12-30 06:42:56
감자튀김,1719,2024-12-29 22:53:56
감자튀김,20915,2024-12-30 00:11:56
떡볶이,19895,2024-12-30 07:12:56
떡볶이,6599,2024-12-30 08:49:56
감자튀김,9408,2024-12-30 09:01:56
떡볶이,28344,2024-12-30 14:59:56
떡볶이,21205,2024-12-30 00:34:56
닭강정,13414,2024-12-30 05:26:56
떡볶이,22013,2024-12-30 04:18:56
떡볶이,26048,2024-12-29 23:39:56
감자튀김,9315,2024-12-30 02:08:56
닭강정,2585,2024-12-29 22:14:56
닭강정,7910,2024-12-30 07:06:56
떡볶이,5054,2024-12-30 11:55:56
떡볶이,24239,2024-12-30 07:00:56
감자튀김,29368,2024-12-30 01:08:56
감자튀김,9073,2024-12-30 08:28:56
감자튀김,26941,2024-12-30 02:53:56
감자튀김,3603,2024-12-30 17:07:56
떡볶이,26211,2024-12-30 09:22:56
떡볶이,29205,2024-12-30 06:52:56
닭강정,15548,2024-12-30 09:46:56
떡볶이,20888,2024-12-30 09:39:56
떡볶이,20903,2024-12-29 23:35:56
닭강정,18863,2024-12-30 11:24:56
감자튀김,12282,2024-12-29 21:30:56
떡볶이,9553,2024-12-29 19:11:56
감자튀김,29038,2024-12-30 05:46:56
감자튀김,16937,2024-12-29 23:30:56
감자튀김,6504,2024-12-29 23:06:56
닭강정,25935,2024-12-30 13:23:56
닭강정,22213,2024-12-29 21:30:56
닭강정,1451,2024-12-30 11:01:56
감자튀김,2475,2024-12-30 07:26:56
떡볶이,28755,2024-12-30 02:28:56
닭강정,19720,2024-12-29 17:46:56
떡볶이,1545,2024-12-29 22:04:56
감자튀김,1677,2024-12-30 08:50:56
떡볶이,5343,2024-12-30 16:50:56
떡볶이,19489,2024-12-29 17:54:56
닭강정,16233,2024-12-30 02:37:56
닭강정,12950,2024-12-30 07:50:56
닭강정,2106,2024-12-30 15:14:56
떡볶이,13231,2024-12-30 15:54:56
감자튀김,9583,2024-12-29 23:52:56
닭강정,17960,2024-12-30 00:34:56
떡볶이,9111,2024-12-30 05:38:56
감자튀김,9492,2024-12-30 00:01:56
떡볶이,10295,2024-12-30 04:08:56
떡볶이,18741,2024-12-30 13:05:56
떡볶이,12598,2024-12-30 13:55:56
닭강정,21466,2024-12-30 07:51:56
떡볶이,22123,2024-12-29 18:03:56
감자튀김,19081,2024-12-29 19:43:56
닭강정,27467,2024-12-30 04:19:56
떡볶이,14160,2024-12-30 11:52:56
떡볶이,15641,2024-12-29 19:17:56
떡볶이,1594,2024-12-30 05:12:56
감자튀김,28060,2024-12-30 13:04:56
감자튀김,19386,2024-12-30 13:37:56
떡볶이,6526,2024-12-30 15:10:56
닭강정,15159,2024-12-29 18:14:56
닭강정,24177,2024-12-30 07:17:56
떡볶이,20764,2024-12-30 16:31:56
닭강정,3918,2024-12-30 04:02:56
떡볶이,16885,2024-12-30 05:29:56
닭강정,25085,2024-12-30 12:35:56
감자튀김,28273,2024-12-29 19:15:56
떡볶이,10178,2024-12-30 13:40:56
떡볶이,3676,2024-12-29 23:06:56
닭강정,23741,2024-12-30 14:51:56
떡볶이,5440,2024-12-30 03:24:56
떡볶이,24023,2024-12-30 04:40:56
닭강정,5775,2024-12-29 21:40:56
닭강정,6206,2024-12-30 06:58:56
감자튀김,5990,2024-12-29 21:03:56
