menu,price,order_time
참치회,26198,2024-12-30 15:30:56
연어초밥,19581,2024-12-29 21:33:56
참치회,25508,2024-12-29 22:17:56
연어초밥,20514,2024-12-30 15:19:56
참치회,6614,2024-12-30 06:40:56
광어회,26330,2024-12-30 09:23:56
참치회,13644,2024-12-29 18:31:56
광어회,29151,2024-12-30 04:13:56
광어회,20527,2024-12-30 10:18:56
광어회,4164,2024-12-30 01:15:56
연어초밥,18364,2024-12-30 01:50:56
광어회,19985,2024-12-29 22:10:56
광어회,18377,2024-12-30 16:51:56
연어초밥,8298,2024-12-29 22:50:56
연어초밥,11452,2024-12-30 14:31:56
광어회,24331,2024-12-30 15:24:56
참치회,15202,2024-12-30 00:28:56
광어회,14328,2024-12-30 00:18:56
광어회,15714,2024-12-30 12:30:56
광어회,7506,2024-12-29 18:50:56
광어회,6872,2024-12-30 01:16:56
연어초밥,8166,2024-12-30 13:56:56
참치회,9361,2024-12-30 14:33:56
광어회,21802,2024-12-30 05:26:56
참치회,21552,2024-12-30 06:46:56
연어초밥,26717,2024-12-30 14:24:56
참치회,25146,2024-12-29 20:46:56
연어초밥,24517,2024-12-30 06:35:56
연어초밥,2140,2024-12-29 20:16:56
참치회,15685,2024-12-30 02:44:56
참치회,16060,2024-12-29 23:00:56
연어초밥,18538,2024-12-29 23:07:56
참치회,1599,2024-12-30 14:19:56
연어초밥,28359,2024-12-29 17:53:56
광어회,1736,2024-12-30 06:54:56
참치회,23568,2024-12-30 12:16:56
연어초밥,20005,2024-12-30 07:23:56
광어회,22862,2024-12-30 09:30:56
연어초밥,23766,2024-12-30 15:08:56
광어회,1253,2024-12-30 14:23:56
연어초밥,7368,2024-12-29 23:13:56
광어회,15015,2024-12-30 06:27:56
참치회,11248,2024-12-30 09:33:56
연어초밥,19326,2024-12-30 14:20:56
참치회,3997,2024-12-30 10:21:56
참치회,26043,2024-12-30 01:57:56
참치회,21240,2024-12-30 14:24:56
광어회,21880,2024-12-30 07:12:56
참치회,8306,2024-12-29 17:35:56
연어초밥,12227,2024-12-30 13:14:56
광어회,9810,2024-12-30 09:25:56
광어회,20092,2024-12-30 06:03:56
연어초밥,17679,2024-12-30 06:39:56
참치회,5408,2024-12-30 03:28:56
참치회,29441,2024-12-30 07:38:56
광어회,28674,2024-12-30 10:09:56
참치회,26416,2024-12-30 12:26:56
광어회,26398,2024-12-29 23:37:56
광어회,15201,2024-12-30 09:12:56
광어회,19917,2024-12-30 07:49:56
광어회,16009,2024-12-30 10:55:56
참치회,20522,2024-12-30 15:55:56
광어회,9560,2024-12-30 06:12:56
연어초밥,17709,2024-12-29 23:58:56
참치회,10612,2024-12-30 10:07:56
참치회,11948,2024-12-29 19:13:56
연어초밥,11040,2024-12-29 19:22:56
연어초밥,3364,2024-12-30 01:57:56
광어회,17583,2024-12-30 10:53:56
광어회,9655,2024-12-30 02:15:56
연어초밥,22891,2024-12-29 20:54:56
연어초밥,22388,2024-12-30 03:20:56
광어회,15979,2024-12-29 23:51:56
참치회,26862,2024-12-30 08:36:56
참치회,23745,2024-12-30 03:04:56
광어회,6552,2024-12-29 21:48:56
연어초밥,6970,2024-12-30 06:17:56
참치회,19208,2024-12-30 14:48:56
참치회,24666,2024-12-29 20:00:56
연어초밥,9647,2024-12-30 05:18:56
연어초밥,28503,2024-12-29 22:16:56
연어초밥,3342,2024-12-30 13:32:56
연어초밥,12573,2024-12-30 15:28:56
참치회,17852,2024-12-29 20:23:56
광어회,25478,2024-12-29 23:07:56
광어회,1039,2024-12-30 12:01:56
참치회,13677,2024-12-30 05:50:56
광어회,26614,2024-12-29 21:32:56
참치회,1426,2024-12-30 04:28:56
연어초밥,2956,2024-12-30 09:41:56
연어초밥,4436,2024-12-30 14:29:56
광어회,24961,2024-12-30 12:12:56
연어초밥,17905,2024-12-29 22:36:56
참치회,4414,2024-12-30 04:03:56
광어회,26576,2024-12-30 12:16:56
연어초밥,22811,2024-12-29 19:12:56
참치회,17887,2024-12-30 06:37:56
광어회,29550,2024-12-30 03:55:56
연어초밥,10914,2024-12-30 02:06:56
연어초밥,24824,2024-12-30 03:57:56
