menu,price,order_time
떡볶이,29079,2024-12-30 14:07:56
만두,21258,2024-12-30 14:25:56
김밥,5801,2024-12-30 08:40:56
떡볶이,27791,2024-12-30 10:52:56
김밥,26245,2024-12-30 00:24:56
김밥,15696,2024-12-29 22:07:56
김밥,21111,2024-12-30 09:00:56
만두,20915,2024-12-30 09:07:56
떡볶이,10381,2024-12-29 21:42:56
김밥,20226,2024-12-29 22:18:56
떡볶이,22597,2024-12-30 09:53:56
김밥,19718,2024-12-30 07:16:56
김밥,22416,2024-12-30 07:46:56
김밥,7355,2024-12-30 01:14:56
김밥,6682,2024-12-30 15:46:56
떡볶이,26516,2024-12-29 22:06:56
김밥,14624,2024-12-30 06:28:56
떡볶이,20748,2024-12-30 05:47:56
만두,15501,2024-12-30 02:19:56
김밥,27011,2024-12-30 09:20:56
김밥,23047,2024-12-30 16:41:56
떡볶이,4902,2024-12-30 00:12:56
떡볶이,9196,2024-12-29 22:03:56
떡볶이,5692,2024-12-30 06:57:56
만두,22281,2024-12-30 14:25:56
떡볶이,24629,2024-12-30 09:57:56
만두,23093,2024-12-29 20:42:56
만두,28487,2024-12-29 17:36:56
김밥,23428,2024-12-30 12:02:56
김밥,29279,2024-12-29 18:23:56
김밥,16360,2024-12-30 14:41:56
김밥,28135,2024-12-30 00:01:56
만두,7836,2024-12-29 19:50:56
김밥,6491,2024-12-29 18:34:56
김밥,20396,2024-12-30 07:28:56
만두,29723,2024-12-30 09:07:56
김밥,20561,2024-12-30 08:39:56
만두,3514,2024-12-30 07:41:56
만두,28184,2024-12-30 12:50:56
떡볶이,6901,2024-12-30 10:55:56
만두,25074,2024-12-30 08:29:56
만두,25663,2024-12-30 11:50:56
만두,24155,2024-12-30 03:18:56
김밥,20310,2024-12-29 18:01:56
김밥,13387,2024-12-30 13:40:56
떡볶이,15706,2024-12-30 01:28:56
떡볶이,9425,2024-12-29 21:49:56
김밥,6788,2024-12-29 23:10:56
김밥,23282,2024-12-30 15:48:56
떡볶이,12721,2024-12-29 21:03:56
김밥,17256,2024-12-30 11:39:56
떡볶이,14892,2024-12-29 19:57:56
만두,27888,2024-12-30 08:17:56
떡볶이,17230,2024-12-30 14:42:56
만두,8036,2024-12-30 10:40:56
떡볶이,24060,2024-12-30 00:37:56
만두,5421,2024-12-29 22:59:56
만두,8902,2024-12-29 23:40:56
만두,27472,2024-12-30 07:04:56
김밥,25941,2024-12-30 04:23:56
떡볶이,21938,2024-12-30 00:51:56
김밥,4709,2024-12-30 09:00:56
김밥,17190,2024-12-30 10:41:56
만두,29723,2024-12-30 08:33:56
김밥,7897,2024-12-30 08:35:56
떡볶이,29716,2024-12-30 04:56:56
만두,28423,2024-12-30 10:38:56
김밥,9329,2024-12-29 19:34:56
만두,25829,2024-12-29 19:52:56
떡볶이,28488,2024-12-29 19:28:56
만두,26054,2024-12-30 09:07:56
만두,2344,2024-12-30 01:01:56
만두,26128,2024-12-30 13:47:56
떡볶이,15950,2024-12-29 18:25:56
김밥,26067,2024-12-30 01:14:56
김밥,7524,2024-12-30 07:37:56
만두,9041,2024-12-30 05:29:56
떡볶이,25154,2024-12-30 00:25:56
김밥,18422,2024-12-30 15:26:56
김밥,5913,2024-12-30 11:38:56
만두,22776,2024-12-30 01:03:56
만두,26744,2024-12-30 00:55:56
만두,18193,2024-12-29 23:30:56
만두,28041,2024-12-30 11:00:56
만두,2314,2024-12-30 08:53:56
떡볶이,15611,2024-12-30 00:30:56
김밥,17790,2024-12-30 02:24:56
떡볶이,18407,2024-12-29 17:55:56
만두,26730,2024-12-30 15:22:56
만두,9049,2024-12-30 16:57:56
만두,7246,2024-12-29 22:28:56
떡볶이,14287,2024-12-30 01:27:56
김밥,17587,2024-12-30 05:53:56
김밥,13066,2024-12-30 01:17:56
만두,3350,2024-12-30 01:04:56
떡볶이,16264,2024-12-30 09:12:56
떡볶이,23104,2024-12-30 05:42:56
만두,8131,2024-12-30 09:36:56
만두,24694,2024-12-30 16:58:56
떡볶이,10552,2024-12-30 12:13:56
