menu,price,order_time
연어초밥,9056,2024-12-30 07:54:56
참치회,2349,2024-12-29 17:35:56
참치회,7497,2024-12-30 01:32:56
참치회,22672,2024-12-30 00:42:56
연어초밥,20626,2024-12-30 14:59:56
연어초밥,8382,2024-12-30 16:12:56
연어초밥,16692,2024-12-30 16:57:56
참치회,3785,2024-12-29 18:17:56
연어초밥,22043,2024-12-30 06:58:56
참치회,10988,2024-12-30 03:43:56
광어회,15370,2024-12-29 17:27:56
광어회,4804,2024-12-30 00:44:56
광어회,2559,2024-12-30 17:18:56
광어회,9243,2024-12-30 10:39:56
참치회,16820,2024-12-30 14:24:56
연어초밥,16680,2024-12-30 07:28:56
참치회,28334,2024-12-30 12:14:56
참치회,17627,2024-12-29 17:27:56
광어회,10551,2024-12-30 00:58:56
광어회,10197,2024-12-30 10:09:56
연어초밥,22575,2024-12-30 11:12:56
광어회,15975,2024-12-30 07:44:56
연어초밥,13617,2024-12-29 17:25:56
참치회,10409,2024-12-30 04:41:56
연어초밥,4236,2024-12-30 05:58:56
광어회,19049,2024-12-30 01:47:56
참치회,2860,2024-12-30 01:21:56
광어회,6322,2024-12-29 21:26:56
참치회,11655,2024-12-30 10:20:56
참치회,7674,2024-12-30 13:31:56
광어회,25318,2024-12-30 13:10:56
참치회,10912,2024-12-30 02:19:56
광어회,9513,2024-12-30 17:06:56
광어회,2783,2024-12-29 22:23:56
참치회,18520,2024-12-29 23:57:56
광어회,12790,2024-12-30 10:30:56
참치회,29001,2024-12-30 11:42:56
광어회,1278,2024-12-30 09:25:56
참치회,17886,2024-12-29 23:16:56
광어회,15761,2024-12-30 16:53:56
광어회,17828,2024-12-30 06:23:56
참치회,6442,2024-12-30 17:15:56
광어회,2359,2024-12-30 02:37:56
연어초밥,16050,2024-12-29 22:02:56
참치회,22682,2024-12-29 19:58:56
참치회,17786,2024-12-30 12:20:56
연어초밥,21734,2024-12-30 04:34:56
연어초밥,28079,2024-12-30 06:51:56
광어회,5316,2024-12-29 20:06:56
참치회,3290,2024-12-30 05:50:56
연어초밥,12006,2024-12-29 22:24:56
광어회,20521,2024-12-30 14:11:56
참치회,14683,2024-12-30 14:25:56
광어회,27130,2024-12-29 22:45:56
참치회,14648,2024-12-29 23:30:56
광어회,3070,2024-12-30 11:55:56
광어회,12910,2024-12-30 12:56:56
참치회,29675,2024-12-30 09:41:56
참치회,22719,2024-12-30 11:02:56
참치회,19959,2024-12-30 10:58:56
광어회,22474,2024-12-29 18:12:56
연어초밥,1737,2024-12-30 11:07:56
참치회,22854,2024-12-30 14:50:56
연어초밥,19812,2024-12-30 12:50:56
광어회,16777,2024-12-29 19:43:56
광어회,10201,2024-12-29 17:59:56
광어회,10309,2024-12-29 22:18:56
광어회,2287,2024-12-30 10:53:56
광어회,21159,2024-12-30 10:33:56
광어회,27283,2024-12-30 07:36:56
참치회,26254,2024-12-30 16:42:56
광어회,7002,2024-12-30 02:40:56
연어초밥,3295,2024-12-29 21:22:56
연어초밥,26342,2024-12-30 04:35:56
참치회,12435,2024-12-30 11:55:56
광어회,11871,2024-12-30 08:06:56
광어회,22170,2024-12-30 11:19:56
연어초밥,29919,2024-12-30 15:04:56
참치회,8608,2024-12-29 20:53:56
참치회,1362,2024-12-30 03:27:56
참치회,23687,2024-12-30 08:34:56
광어회,23265,2024-12-30 03:19:56
연어초밥,7854,2024-12-29 22:02:56
연어초밥,25745,2024-12-29 19:48:56
연어초밥,20714,2024-12-29 21:42:56
광어회,13877,2024-12-30 01:50:56
참치회,17253,2024-12-30 07:45:56
연어초밥,1389,2024-12-30 06:29:56
연어초밥,25490,2024-12-30 12:15:56
연어초밥,2481,2024-12-30 12:48:56
참치회,3274,2024-12-30 10:28:56
연어초밥,3552,2024-12-30 13:14:56
연어초밥,24584,2024-12-30 11:13:56
참치회,4597,2024-12-30 03:22:56
참치회,10503,2024-12-30 07:17:56
연어초밥,8446,2024-12-30 16:32:56
연어초밥,18790,2024-12-29 19:18:56
참치회,24550,2024-12-30 02:58:56
참치회,10480,2024-12-30 08:19:56
연어초밥,21491,2024-12-29 22:34:56
