menu,price,order_time
케이크,17674,2024-12-30 08:39:56
케이크,8128,2024-12-29 20:50:56
케이크,13063,2024-12-30 08:43:56
케이크,16940,2024-12-30 13:32:56
케이크,5306,2024-12-30 13:17:56
케이크,3885,2024-12-29 23:00:56
카푸치노,27648,2024-12-29 20:36:56
카푸치노,18474,2024-12-30 01:22:56
아메리카노,20637,2024-12-29 20:04:56
카푸치노,25503,2024-12-30 08:04:56
카푸치노,14646,2024-12-30 13:38:56
카푸치노,1218,2024-12-30 00:12:56
아메리카노,23634,2024-12-30 10:37:56
케이크,8499,2024-12-30 06:38:56
카푸치노,4746,2024-12-29 18:21:56
케이크,20451,2024-12-29 22:48:56
케이크,6837,2024-12-30 03:48:56
아메리카노,11861,2024-12-29 23:00:56
아메리카노,8682,2024-12-30 02:36:56
아메리카노,13890,2024-12-30 16:48:56
아메리카노,22773,2024-12-29 19:15:56
케이크,4168,2024-12-29 22:00:56
카푸치노,2032,2024-12-30 08:42:56
케이크,14536,2024-12-30 06:42:56
케이크,6434,2024-12-30 03:15:56
아메리카노,18801,2024-12-30 14:33:56
카푸치노,11817,2024-12-29 19:14:56
아메리카노,11428,2024-12-30 08:14:56
아메리카노,17497,2024-12-29 20:55:56
케이크,12142,2024-12-30 12:23:56
아메리카노,28900,2024-12-30 07:33:56
카푸치노,4419,2024-12-30 07:13:56
아메리카노,28877,2024-12-30 01:57:56
카푸치노,24836,2024-12-30 17:01:56
아메리카노,13998,2024-12-30 15:37:56
카푸치노,18653,2024-12-30 07:33:56
케이크,22242,2024-12-30 03:17:56
케이크,25335,2024-12-30 08:09:56
아메리카노,14858,2024-12-30 10:41:56
아메리카노,2209,2024-12-30 07:14:56
아메리카노,18745,2024-12-30 01:51:56
아메리카노,1888,2024-12-29 23:54:56
카푸치노,14673,2024-12-29 17:47:56
아메리카노,9671,2024-12-29 18:00:56
아메리카노,13260,2024-12-30 15:08:56
케이크,25189,2024-12-30 01:36:56
카푸치노,9486,2024-12-30 02:29:56
카푸치노,17732,2024-12-30 06:10:56
아메리카노,9526,2024-12-30 10:49:56
케이크,8946,2024-12-29 18:41:56
카푸치노,12480,2024-12-30 14:44:56
카푸치노,14814,2024-12-30 03:22:56
아메리카노,27780,2024-12-30 04:18:56
카푸치노,20731,2024-12-30 09:32:56
케이크,6418,2024-12-30 16:59:56
카푸치노,9918,2024-12-30 01:14:56
카푸치노,6995,2024-12-30 13:01:56
아메리카노,26581,2024-12-30 08:18:56
카푸치노,27045,2024-12-29 20:05:56
케이크,28172,2024-12-30 05:11:56
케이크,8506,2024-12-30 11:58:56
카푸치노,10864,2024-12-30 07:54:56
카푸치노,21835,2024-12-30 07:40:56
카푸치노,5203,2024-12-30 11:25:56
케이크,19851,2024-12-30 17:01:56
케이크,3252,2024-12-29 22:52:56
카푸치노,28607,2024-12-30 04:52:56
케이크,4652,2024-12-30 15:13:56
아메리카노,23012,2024-12-30 03:18:56
아메리카노,16950,2024-12-30 16:04:56
아메리카노,15148,2024-12-30 07:10:56
카푸치노,12114,2024-12-30 05:30:56
케이크,10108,2024-12-30 09:17:56
카푸치노,14288,2024-12-30 15:03:56
카푸치노,27931,2024-12-30 02:26:56
카푸치노,9543,2024-12-30 11:59:56
케이크,8406,2024-12-29 22:59:56
카푸치노,26108,2024-12-30 00:50:56
카푸치노,26000,2024-12-30 17:02:56
케이크,16684,2024-12-30 16:00:56
케이크,13451,2024-12-29 18:02:56
아메리카노,3698,2024-12-30 05:39:56
케이크,27157,2024-12-30 11:10:56
아메리카노,14514,2024-12-30 07:37:56
케이크,18052,2024-12-30 03:35:56
아메리카노,14848,2024-12-30 14:04:56
케이크,8241,2024-12-29 20:58:56
케이크,7144,2024-12-30 12:10:56
카푸치노,6874,2024-12-30 14:05:56
케이크,22985,2024-12-30 08:35:56
아메리카노,13840,2024-12-30 04:55:56
카푸치노,10518,2024-12-30 07:04:56
카푸치노,11974,2024-12-30 00:32:56
아메리카노,4100,2024-12-30 00:52:56
아메리카노,26005,2024-12-30 01:31:56
케이크,19435,2024-12-30 13:39:56
케이크,26253,2024-12-30 15:18:56
카푸치노,14434,2024-12-30 03:44:56
아메리카노,18069,2024-12-30 04:37:56
아메리카노,24904,2024-12-30 00:13:56
