menu,price,order_time
아메리카노,15549,2024-12-30 09:30:56
아메리카노,17791,2024-12-30 04:37:56
카푸치노,6987,2024-12-30 16:27:56
케이크,6641,2024-12-30 15:08:56
케이크,17947,2024-12-30 05:42:56
케이크,23055,2024-12-30 05:22:56
카푸치노,6078,2024-12-30 16:45:56
케이크,29063,2024-12-29 18:03:56
카푸치노,2091,2024-12-29 17:30:56
케이크,11070,2024-12-30 09:28:56
아메리카노,4847,2024-12-30 10:16:56
카푸치노,2371,2024-12-30 07:05:56
아메리카노,5114,2024-12-30 03:27:56
케이크,28254,2024-12-30 07:11:56
케이크,10966,2024-12-30 10:42:56
아메리카노,23505,2024-12-30 03:55:56
아메리카노,9354,2024-12-29 18:49:56
아메리카노,29323,2024-12-30 12:32:56
카푸치노,1066,2024-12-30 16:26:56
케이크,2596,2024-12-30 14:36:56
케이크,18945,2024-12-30 15:47:56
케이크,21787,2024-12-30 12:25:56
아메리카노,22711,2024-12-29 23:56:56
케이크,20626,2024-12-30 12:24:56
케이크,14672,2024-12-30 04:44:56
카푸치노,8330,2024-12-29 20:51:56
카푸치노,28786,2024-12-30 02:06:56
카푸치노,8948,2024-12-30 03:04:56
카푸치노,5343,2024-12-29 21:27:56
아메리카노,20195,2024-12-30 08:19:56
아메리카노,5266,2024-12-29 22:34:56
카푸치노,14050,2024-12-30 10:37:56
아메리카노,7929,2024-12-30 06:52:56
카푸치노,5682,2024-12-30 06:06:56
케이크,12471,2024-12-29 20:06:56
아메리카노,5628,2024-12-29 19:56:56
아메리카노,13809,2024-12-29 21:58:56
아메리카노,11439,2024-12-29 19:29:56
케이크,8042,2024-12-29 21:29:56
아메리카노,25167,2024-12-30 08:32:56
케이크,17237,2024-12-29 18:17:56
아메리카노,1714,2024-12-30 16:48:56
케이크,23509,2024-12-30 06:40:56
아메리카노,11994,2024-12-30 11:10:56
카푸치노,14412,2024-12-30 03:47:56
카푸치노,29752,2024-12-30 07:45:56
아메리카노,7353,2024-12-30 08:44:56
아메리카노,16046,2024-12-30 13:48:56
아메리카노,16616,2024-12-30 12:26:56
아메리카노,7919,2024-12-30 09:07:56
아메리카노,26985,2024-12-30 08:11:56
카푸치노,4475,2024-12-30 08:49:56
카푸치노,17106,2024-12-30 08:44:56
아메리카노,21819,2024-12-29 17:23:56
카푸치노,9578,2024-12-30 10:32:56
케이크,3427,2024-12-30 11:50:56
아메리카노,24555,2024-12-30 00:53:56
아메리카노,20843,2024-12-30 06:52:56
케이크,21038,2024-12-30 12:50:56
카푸치노,7659,2024-12-30 14:24:56
아메리카노,21611,2024-12-30 11:29:56
케이크,12395,2024-12-29 21:48:56
케이크,27852,2024-12-29 21:06:56
카푸치노,2805,2024-12-30 01:27:56
카푸치노,27103,2024-12-30 04:56:56
아메리카노,6034,2024-12-30 12:55:56
케이크,21624,2024-12-29 17:45:56
카푸치노,18373,2024-12-29 21:34:56
케이크,15467,2024-12-30 00:56:56
아메리카노,26984,2024-12-30 04:29:56
아메리카노,6979,2024-12-29 17:22:56
아메리카노,23851,2024-12-30 15:34:56
카푸치노,12292,2024-12-30 01:10:56
카푸치노,19923,2024-12-30 03:49:56
카푸치노,15674,2024-12-30 10:16:56
케이크,24396,2024-12-30 11:38:56
케이크,19512,2024-12-30 17:03:56
케이크,2022,2024-12-29 20:06:56
케이크,1061,2024-12-30 14:10:56
카푸치노,20815,2024-12-29 19:17:56
케이크,11364,2024-12-30 06:52:56
케이크,20045,2024-12-30 16:12:56
케이크,3553,2024-12-29 21:30:56
케이크,24486,2024-12-30 05:02:56
카푸치노,1235,2024-12-30 07:32:56
아메리카노,2318,2024-12-29 22:52:56
케이크,14160,2024-12-29 19:21:56
카푸치노,18611,2024-12-30 09:29:56
아메리카노,16242,2024-12-30 12:12:56
케이크,8715,2024-12-30 14:31:56
아메리카노,3167,2024-12-29 20:36:56
카푸치노,20274,2024-12-30 15:05:56
케이크,18694,2024-12-29 19:57:56
아메리카노,22273,2024-12-30 12:34:56
케이크,24236,2024-12-30 05:57:56
케이크,18815,2024-12-30 00:31:56
아메리카노,27716,2024-12-29 23:11:56
카푸치노,11993,2024-12-30 02:21:56
케이크,8672,2024-12-30 13:03:56
카푸치노,15596,2024-12-30 04:09:56
