menu,price,order_time
떡볶이,3477,2024-12-30 08:00:56
떡볶이,27958,2024-12-29 20:06:56
만두,20767,2024-12-29 22:20:56
떡볶이,11231,2024-12-29 21:18:56
만두,4779,2024-12-30 16:14:56
떡볶이,21283,2024-12-29 22:15:56
만두,24212,2024-12-30 09:34:56
만두,18563,2024-12-29 22:30:56
김밥,9013,2024-12-29 22:17:56
만두,5981,2024-12-30 02:44:56
김밥,15232,2024-12-30 15:38:56
김밥,13334,2024-12-30 06:42:56
만두,7212,2024-12-30 09:06:56
김밥,24092,2024-12-30 09:43:56
김밥,6945,2024-12-30 02:28:56
만두,28710,2024-12-29 21:43:56
김밥,25570,2024-12-30 12:31:56
떡볶이,1384,2024-12-30 04:00:56
만두,24021,2024-12-30 01:50:56
만두,12298,2024-12-30 03:40:56
만두,20087,2024-12-29 21:01:56
떡볶이,23826,2024-12-30 09:28:56
김밥,19142,2024-12-30 13:31:56
떡볶이,29101,2024-12-30 16:03:56
만두,15731,2024-12-30 06:11:56
떡볶이,22845,2024-12-29 20:36:56
만두,22842,2024-12-30 07:23:56
김밥,23075,2024-12-30 09:18:56
떡볶이,13687,2024-12-30 05:12:56
만두,29005,2024-12-29 21:13:56
만두,2786,2024-12-30 05:12:56
만두,13017,2024-12-30 09:50:56
떡볶이,27975,2024-12-29 18:34:56
떡볶이,18313,2024-12-29 17:21:56
떡볶이,13294,2024-12-29 19:14:56
만두,21285,2024-12-29 19:56:56
김밥,18048,2024-12-30 07:34:56
김밥,15487,2024-12-29 18:46:56
떡볶이,28205,2024-12-30 14:55:56
만두,1045,2024-12-30 13:20:56
김밥,14011,2024-12-30 01:31:56
김밥,14732,2024-12-30 08:10:56
김밥,13917,2024-12-30 06:00:56
떡볶이,12423,2024-12-30 17:17:56
떡볶이,11488,2024-12-29 21:52:56
만두,22668,2024-12-30 02:03:56
김밥,3370,2024-12-30 08:09:56
김밥,11962,2024-12-29 17:43:56
만두,25583,2024-12-29 18:29:56
김밥,7735,2024-12-30 00:21:56
김밥,28407,2024-12-29 20:49:56
만두,11887,2024-12-30 16:38:56
만두,7187,2024-12-29 17:57:56
떡볶이,12836,2024-12-29 17:54:56
만두,8327,2024-12-30 00:06:56
떡볶이,15147,2024-12-30 07:33:56
김밥,23368,2024-12-30 10:34:56
만두,23005,2024-12-30 14:21:56
만두,7524,2024-12-30 13:18:56
김밥,16591,2024-12-29 21:44:56
떡볶이,23114,2024-12-30 16:49:56
김밥,18998,2024-12-30 08:14:56
떡볶이,3452,2024-12-30 00:23:56
만두,17692,2024-12-30 02:05:56
떡볶이,29942,2024-12-29 22:12:56
떡볶이,4951,2024-12-30 00:31:56
만두,3586,2024-12-30 10:55:56
만두,12666,2024-12-29 21:21:56
떡볶이,18923,2024-12-30 00:27:56
떡볶이,4256,2024-12-30 04:17:56
만두,23745,2024-12-30 05:31:56
김밥,4762,2024-12-29 20:09:56
떡볶이,25139,2024-12-30 08:43:56
만두,6310,2024-12-30 09:20:56
만두,10507,2024-12-30 10:28:56
만두,16993,2024-12-30 09:06:56
김밥,15436,2024-12-29 19:21:56
만두,20647,2024-12-30 10:44:56
김밥,24684,2024-12-30 07:12:56
떡볶이,9594,2024-12-30 16:35:56
떡볶이,16542,2024-12-30 00:05:56
떡볶이,12106,2024-12-30 15:38:56
만두,5352,2024-12-29 23:55:56
만두,2467,2024-12-30 10:55:56
만두,6194,2024-12-30 03:16:56
만두,13608,2024-12-30 10:38:56
김밥,21287,2024-12-29 21:15:56
김밥,6290,2024-12-30 01:06:56
만두,1254,2024-12-30 10:10:56
떡볶이,20720,2024-12-30 01:22:56
만두,23223,2024-12-29 23:08:56
떡볶이,11503,2024-12-30 09:20:56
만두,15244,2024-12-30 06:43:56
떡볶이,19469,2024-12-30 06:57:56
김밥,16584,2024-12-30 12:18:56
떡볶이,1577,2024-12-29 23:21:56
만두,10138,2024-12-30 13:25:56
떡볶이,15379,2024-12-29 20:16:56
만두,13919,2024-12-30 16:14:56
김밥,23720,2024-12-29 19:44:56
