menu,price,order_time
참치회,9009,2024-12-29 20:10:56
참치회,16920,2024-12-30 13:29:56
연어초밥,21727,2024-12-30 07:33:56
연어초밥,6948,2024-12-29 22:46:56
연어초밥,27965,2024-12-30 06:28:56
참치회,22371,2024-12-30 12:05:56
광어회,11543,2024-12-29 23:51:56
연어초밥,9945,2024-12-29 21:13:56
참치회,3612,2024-12-30 03:26:56
참치회,8630,2024-12-30 12:01:56
광어회,15300,2024-12-30 01:43:56
참치회,20978,2024-12-29 20:34:56
연어초밥,8130,2024-12-29 21:25:56
연어초밥,8917,2024-12-30 15:11:56
참치회,4868,2024-12-30 06:44:56
연어초밥,29006,2024-12-30 01:46:56
참치회,19365,2024-12-30 14:33:56
광어회,3600,2024-12-30 08:52:56
연어초밥,10651,2024-12-30 16:41:56
연어초밥,25262,2024-12-30 11:13:56
광어회,28352,2024-12-29 22:04:56
연어초밥,18326,2024-12-30 02:10:56
광어회,21778,2024-12-30 06:06:56
광어회,17625,2024-12-30 06:46:56
참치회,19020,2024-12-30 13:47:56
광어회,4360,2024-12-29 20:52:56
광어회,4773,2024-12-30 15:38:56
참치회,10419,2024-12-30 06:05:56
참치회,28082,2024-12-30 01:44:56
연어초밥,22776,2024-12-29 22:58:56
광어회,25699,2024-12-30 14:22:56
참치회,8537,2024-12-29 23:13:56
연어초밥,19810,2024-12-30 08:49:56
광어회,11923,2024-12-30 10:00:56
연어초밥,19125,2024-12-30 03:10:56
광어회,2887,2024-12-29 21:44:56
참치회,3100,2024-12-30 14:18:56
광어회,4022,2024-12-29 20:34:56
광어회,13145,2024-12-29 20:32:56
광어회,26780,2024-12-30 15:08:56
연어초밥,20668,2024-12-29 21:23:56
광어회,29815,2024-12-29 21:48:56
연어초밥,28668,2024-12-30 07:54:56
참치회,14148,2024-12-29 21:33:56
참치회,4689,2024-12-30 01:27:56
참치회,5684,2024-12-30 06:49:56
연어초밥,14283,2024-12-29 18:37:56
광어회,8168,2024-12-30 04:06:56
광어회,15799,2024-12-30 00:52:56
광어회,6419,2024-12-30 05:48:56
광어회,19982,2024-12-29 18:31:56
광어회,15660,2024-12-29 17:58:56
연어초밥,24108,2024-12-29 21:01:56
광어회,11906,2024-12-30 07:24:56
광어회,14071,2024-12-29 19:40:56
광어회,25209,2024-12-30 16:38:56
참치회,10640,2024-12-30 16:58:56
참치회,13456,2024-12-30 12:27:56
연어초밥,25831,2024-12-30 08:28:56
참치회,5958,2024-12-29 18:06:56
광어회,1001,2024-12-30 05:35:56
연어초밥,21747,2024-12-30 16:51:56
연어초밥,16979,2024-12-30 07:17:56
참치회,2541,2024-12-30 14:33:56
참치회,28626,2024-12-30 14:01:56
연어초밥,2555,2024-12-29 23:25:56
광어회,7212,2024-12-29 17:32:56
광어회,18979,2024-12-29 23:59:56
연어초밥,5476,2024-12-30 05:56:56
광어회,7635,2024-12-30 12:27:56
광어회,6236,2024-12-30 13:33:56
광어회,24378,2024-12-30 13:06:56
광어회,15266,2024-12-30 14:42:56
참치회,23927,2024-12-30 01:31:56
참치회,28198,2024-12-30 14:22:56
연어초밥,2243,2024-12-30 14:38:56
연어초밥,6078,2024-12-30 16:35:56
참치회,18085,2024-12-29 18:02:56
참치회,11991,2024-12-30 16:46:56
광어회,13181,2024-12-29 18:55:56
참치회,2081,2024-12-30 03:35:56
연어초밥,18168,2024-12-29 20:20:56
연어초밥,16924,2024-12-29 22:57:56
연어초밥,19894,2024-12-30 11:09:56
광어회,27174,2024-12-30 03:49:56
참치회,12989,2024-12-30 00:39:56
광어회,18748,2024-12-30 08:13:56
참치회,19422,2024-12-30 15:06:56
연어초밥,14331,2024-12-30 13:44:56
광어회,5964,2024-12-30 05:34:56
광어회,10094,2024-12-30 10:16:56
광어회,28273,2024-12-30 00:46:56
연어초밥,7637,2024-12-30 08:51:56
참치회,12398,2024-12-30 00:53:56
광어회,16779,2024-12-30 13:58:56
연어초밥,6273,2024-12-30 05:23:56
광어회,12811,2024-12-30 08:49:56
연어초밥,26554,2024-12-30 00:18:56
참치회,3276,2024-12-30 04:44:56
광어회,12924,2024-12-30 07:59:56
