menu,price,order_time
김밥,22618,2024-12-30 11:10:56
떡볶이,17687,2024-12-30 14:32:56
만두,26428,2024-12-29 22:02:56
떡볶이,23568,2024-12-30 15:27:56
만두,11966,2024-12-29 23:29:56
만두,16995,2024-12-30 04:01:56
떡볶이,9088,2024-12-30 04:02:56
김밥,21705,2024-12-29 21:08:56
떡볶이,3413,2024-12-30 05:22:56
떡볶이,15741,2024-12-29 20:23:56
만두,13352,2024-12-30 04:40:56
김밥,23703,2024-12-30 15:13:56
만두,25614,2024-12-30 07:46:56
떡볶이,3404,2024-12-29 22:10:56
김밥,22128,2024-12-30 07:51:56
떡볶이,9246,2024-12-29 22:52:56
만두,29901,2024-12-29 19:03:56
떡볶이,19280,2024-12-29 18:42:56
떡볶이,25572,2024-12-30 01:30:56
떡볶이,12527,2024-12-30 08:19:56
떡볶이,11752,2024-12-29 21:45:56
김밥,24968,2024-12-29 17:28:56
떡볶이,18278,2024-12-30 08:05:56
김밥,2665,2024-12-30 08:43:56
만두,18616,2024-12-30 10:51:56
김밥,16160,2024-12-30 05:41:56
김밥,3180,2024-12-30 12:52:56
떡볶이,22436,2024-12-30 04:49:56
떡볶이,14985,2024-12-30 04:48:56
김밥,19285,2024-12-29 20:32:56
만두,17220,2024-12-29 18:28:56
떡볶이,19783,2024-12-30 15:39:56
김밥,28651,2024-12-30 09:04:56
만두,6656,2024-12-30 05:03:56
만두,24708,2024-12-30 00:55:56
김밥,10874,2024-12-30 09:07:56
떡볶이,26538,2024-12-30 12:09:56
만두,4638,2024-12-29 21:57:56
만두,14574,2024-12-29 21:26:56
떡볶이,22163,2024-12-30 02:59:56
김밥,10948,2024-12-30 05:05:56
김밥,8738,2024-12-30 06:37:56
떡볶이,9452,2024-12-30 03:19:56
만두,15549,2024-12-30 01:01:56
떡볶이,13888,2024-12-30 12:57:56
김밥,11659,2024-12-30 01:08:56
만두,28609,2024-12-29 22:26:56
떡볶이,20168,2024-12-29 23:03:56
떡볶이,13287,2024-12-30 13:00:56
김밥,4881,2024-12-29 19:11:56
떡볶이,23924,2024-12-30 09:56:56
만두,3666,2024-12-30 06:09:56
떡볶이,5290,2024-12-29 23:33:56
만두,24599,2024-12-30 04:06:56
만두,23389,2024-12-30 00:19:56
떡볶이,15453,2024-12-29 23:11:56
만두,5482,2024-12-30 04:06:56
김밥,18428,2024-12-30 07:01:56
만두,27743,2024-12-30 09:19:56
만두,10750,2024-12-30 11:50:56
떡볶이,7027,2024-12-29 21:15:56
만두,26205,2024-12-30 16:28:56
김밥,9217,2024-12-30 02:27:56
김밥,11014,2024-12-30 13:52:56
김밥,28566,2024-12-30 06:04:56
떡볶이,24732,2024-12-30 02:37:56
만두,22264,2024-12-29 22:20:56
김밥,25769,2024-12-30 10:24:56
만두,7048,2024-12-30 17:04:56
만두,19197,2024-12-30 16:01:56
만두,19631,2024-12-30 09:42:56
떡볶이,28257,2024-12-30 14:19:56
만두,27869,2024-12-30 08:39:56
김밥,10559,2024-12-30 03:36:56
떡볶이,20806,2024-12-30 17:03:56
김밥,7785,2024-12-30 01:35:56
떡볶이,23967,2024-12-30 17:19:56
만두,13955,2024-12-30 13:35:56
김밥,22939,2024-12-30 11:43:56
김밥,6353,2024-12-30 03:44:56
떡볶이,5502,2024-12-29 20:37:56
김밥,1705,2024-12-29 19:06:56
만두,2810,2024-12-30 15:51:56
김밥,5044,2024-12-29 19:15:56
만두,27724,2024-12-30 01:15:56
떡볶이,3244,2024-12-29 21:49:56
김밥,5994,2024-12-30 06:28:56
만두,28973,2024-12-30 03:44:56
만두,27065,2024-12-30 07:26:56
김밥,11669,2024-12-30 16:47:56
만두,24370,2024-12-29 18:53:56
만두,18282,2024-12-30 10:13:56
만두,6483,2024-12-30 07:15:56
김밥,5445,2024-12-30 17:13:56
김밥,23154,2024-12-30 07:08:56
김밥,10349,2024-12-30 03:16:56
떡볶이,11214,2024-12-30 09:13:56
김밥,20144,2024-12-30 03:11:56
김밥,11209,2024-12-30 10:00:56
김밥,9544,2024-12-30 06:09:56
