menu,price,order_time
떡볶이,2113,2024-12-29 17:55:57
김밥,10042,2024-12-29 19:34:57
떡볶이,23687,2024-12-30 15:03:57
만두,6395,2024-12-29 20:15:57
만두,28759,2024-12-30 08:09:57
만두,22969,2024-12-30 07:09:57
떡볶이,28165,2024-12-30 03:44:57
만두,7174,2024-12-30 09:25:57
만두,17689,2024-12-30 04:46:57
만두,6294,2024-12-30 11:22:57
김밥,9337,2024-12-30 03:48:57
만두,10153,2024-12-30 10:02:57
만두,19334,2024-12-30 13:18:57
만두,24867,2024-12-30 12:53:57
떡볶이,24559,2024-12-30 00:25:57
만두,13104,2024-12-30 15:31:57
떡볶이,27922,2024-12-30 03:58:57
떡볶이,28354,2024-12-29 20:26:57
만두,17529,2024-12-30 08:19:57
만두,1283,2024-12-29 19:02:57
만두,10780,2024-12-30 10:47:57
김밥,14536,2024-12-30 09:27:57
떡볶이,9266,2024-12-29 20:23:57
떡볶이,13532,2024-12-30 04:54:57
떡볶이,13689,2024-12-30 14:04:57
만두,8785,2024-12-30 15:03:57
떡볶이,22065,2024-12-29 22:56:57
만두,22368,2024-12-30 08:07:57
김밥,1048,2024-12-30 07:01:57
만두,11231,2024-12-30 11:45:57
김밥,6103,2024-12-29 22:17:57
떡볶이,28551,2024-12-29 18:19:57
떡볶이,18350,2024-12-29 21:29:57
만두,14188,2024-12-30 03:57:57
김밥,7863,2024-12-29 19:18:57
김밥,20703,2024-12-30 07:25:57
만두,1409,2024-12-30 12:15:57
김밥,20963,2024-12-29 22:30:57
만두,22514,2024-12-30 12:37:57
떡볶이,13538,2024-12-30 00:21:57
김밥,7170,2024-12-30 10:02:57
떡볶이,5730,2024-12-30 04:55:57
떡볶이,12365,2024-12-30 14:10:57
떡볶이,28453,2024-12-30 08:15:57
만두,24265,2024-12-30 00:37:57
김밥,7159,2024-12-30 11:58:57
떡볶이,5748,2024-12-30 14:22:57
떡볶이,14747,2024-12-30 00:11:57
떡볶이,16343,2024-12-30 08:02:57
떡볶이,27395,2024-12-30 12:43:57
김밥,22799,2024-12-30 08:03:57
김밥,18586,2024-12-29 19:38:57
김밥,9353,2024-12-29 22:00:57
김밥,26363,2024-12-30 06:03:57
만두,25308,2024-12-30 17:10:57
김밥,28702,2024-12-29 22:44:57
떡볶이,2839,2024-12-30 17:07:57
김밥,5747,2024-12-30 12:38:57
만두,10479,2024-12-29 23:19:57
만두,5115,2024-12-30 16:24:57
만두,24893,2024-12-30 07:25:57
떡볶이,13116,2024-12-30 10:58:57
떡볶이,16775,2024-12-30 12:15:57
떡볶이,7911,2024-12-30 04:21:57
만두,16079,2024-12-30 04:38:57
김밥,28063,2024-12-29 19:43:57
만두,8280,2024-12-30 02:42:57
떡볶이,29626,2024-12-29 17:28:57
떡볶이,27342,2024-12-30 07:58:57
김밥,17545,2024-12-30 03:51:57
떡볶이,8902,2024-12-29 19:48:57
김밥,14937,2024-12-29 23:49:57
만두,2540,2024-12-29 18:23:57
떡볶이,19664,2024-12-30 16:21:57
김밥,4958,2024-12-30 00:38:57
김밥,14408,2024-12-30 00:57:57
만두,10056,2024-12-30 04:05:57
만두,19040,2024-12-30 04:13:57
김밥,27551,2024-12-29 22:37:57
만두,6740,2024-12-30 06:24:57
떡볶이,6501,2024-12-30 13:39:57
떡볶이,1856,2024-12-30 11:04:57
만두,13620,2024-12-29 20:41:57
떡볶이,19566,2024-12-30 11:04:57
만두,16088,2024-12-29 23:14:57
김밥,2751,2024-12-29 20:07:57
만두,14759,2024-12-30 00:12:57
떡볶이,28664,2024-12-30 09:19:57
만두,23473,2024-12-30 11:52:57
김밥,28118,2024-12-29 17:57:57
김밥,5175,2024-12-30 12:33:57
김밥,28985,2024-12-30 06:41:57
만두,17804,2024-12-30 01:12:57
김밥,8734,2024-12-30 11:24:57
떡볶이,29354,2024-12-30 13:24:57
김밥,15473,2024-12-30 14:46:57
김밥,24688,2024-12-30 04:27:57
만두,18903,2024-12-30 12:08:57
만두,2635,2024-12-30 09:11:57
떡볶이,24916,2024-12-30 03:27:57
