menu,price,order_time
닭강정,11274,2024-12-30 16:32:56
닭강정,11759,2024-12-30 02:01:56
떡볶이,3827,2024-12-29 21:23:56
감자튀김,8473,2024-12-30 15:56:56
감자튀김,10734,2024-12-30 05:57:56
떡볶이,28792,2024-12-30 01:00:56
감자튀김,1316,2024-12-30 07:40:56
감자튀김,22635,2024-12-30 04:04:56
떡볶이,24315,2024-12-30 13:57:56
감자튀김,4418,2024-12-29 21:19:56
닭강정,19988,2024-12-29 21:26:56
떡볶이,11831,2024-12-29 20:50:56
감자튀김,10896,2024-12-30 03:56:56
닭강정,6490,2024-12-30 02:30:56
감자튀김,15378,2024-12-30 06:07:56
감자튀김,26972,2024-12-30 07:39:56
감자튀김,12799,2024-12-30 04:13:56
닭강정,19717,2024-12-30 14:26:56
닭강정,27237,2024-12-30 10:22:56
닭강정,16087,2024-12-30 13:40:56
떡볶이,28476,2024-12-30 14:28:56
떡볶이,29864,2024-12-30 15:29:56
떡볶이,1251,2024-12-30 13:55:56
닭강정,14070,2024-12-30 08:36:56
닭강정,21670,2024-12-30 11:58:56
닭강정,27476,2024-12-29 21:39:56
감자튀김,20461,2024-12-30 10:39:56
떡볶이,21635,2024-12-29 23:05:56
닭강정,5602,2024-12-29 21:53:56
떡볶이,1758,2024-12-30 10:26:56
닭강정,27442,2024-12-29 22:46:56
떡볶이,2541,2024-12-29 21:41:56
닭강정,23944,2024-12-30 10:14:56
닭강정,29846,2024-12-30 06:24:56
감자튀김,10863,2024-12-30 07:11:56
떡볶이,2937,2024-12-30 11:21:56
감자튀김,1769,2024-12-29 20:36:56
감자튀김,4607,2024-12-30 00:34:56
떡볶이,4842,2024-12-30 05:36:56
감자튀김,9592,2024-12-29 18:34:56
닭강정,17347,2024-12-30 02:34:56
떡볶이,10715,2024-12-30 10:28:56
감자튀김,6604,2024-12-30 07:07:56
닭강정,2089,2024-12-29 22:12:56
닭강정,6513,2024-12-30 12:26:56
떡볶이,5261,2024-12-29 18:41:56
감자튀김,21284,2024-12-29 21:23:56
닭강정,27408,2024-12-30 03:26:56
닭강정,8832,2024-12-29 18:23:56
닭강정,17602,2024-12-30 11:56:56
감자튀김,26898,2024-12-30 00:53:56
닭강정,3103,2024-12-30 03:33:56
감자튀김,2387,2024-12-30 05:37:56
떡볶이,1964,2024-12-30 01:27:56
감자튀김,23178,2024-12-30 08:23:56
떡볶이,22147,2024-12-29 19:47:56
감자튀김,21344,2024-12-30 00:33:56
떡볶이,11763,2024-12-30 02:42:56
감자튀김,9077,2024-12-30 06:42:56
감자튀김,28247,2024-12-30 16:25:56
떡볶이,29215,2024-12-29 21:14:56
떡볶이,24567,2024-12-30 04:03:56
감자튀김,21807,2024-12-30 02:13:56
감자튀김,29604,2024-12-30 15:47:56
닭강정,1651,2024-12-30 09:49:56
떡볶이,1975,2024-12-30 08:14:56
떡볶이,2608,2024-12-30 08:20:56
감자튀김,29467,2024-12-29 23:32:56
감자튀김,6817,2024-12-30 16:20:56
떡볶이,11618,2024-12-30 13:18:56
떡볶이,5298,2024-12-29 21:36:56
닭강정,25876,2024-12-29 22:19:56
감자튀김,27500,2024-12-29 20:14:56
떡볶이,1008,2024-12-30 08:06:56
감자튀김,7274,2024-12-30 09:56:56
닭강정,18793,2024-12-30 05:54:56
닭강정,5936,2024-12-29 21:50:56
닭강정,29048,2024-12-30 12:08:56
감자튀김,21266,2024-12-29 19:30:56
감자튀김,2822,2024-12-29 21:24:56
닭강정,16690,2024-12-29 22:27:56
떡볶이,21200,2024-12-30 08:54:56
떡볶이,12515,2024-12-29 18:33:56
감자튀김,5508,2024-12-30 01:51:56
닭강정,20522,2024-12-30 11:06:56
감자튀김,21956,2024-12-30 04:38:56
떡볶이,17558,2024-12-30 00:47:56
떡볶이,25049,2024-12-30 02:28:56
감자튀김,6885,2024-12-30 09:14:56
감자튀김,24077,2024-12-30 01:55:56
감자튀김,23924,2024-12-30 05:50:56
떡볶이,14410,2024-12-30 07:07:56
닭강정,2114,2024-12-30 09:41:56
닭강정,15640,2024-12-29 22:01:56
떡볶이,11271,2024-12-30 13:34:56
닭강정,28573,2024-12-30 14:26:56
감자튀김,26342,2024-12-29 20:40:56
닭강정,3068,2024-12-30 03:35:56
감자튀김,29986,2024-12-29 22:05:56
닭강정,2084,2024-12-30 09:58:56
