menu,price,order_time
아메리카노,9680,2024-12-29 21:45:57
케이크,22876,2024-12-30 17:21:57
아메리카노,2231,2024-12-29 21:58:57
아메리카노,17894,2024-12-30 07:07:57
케이크,17910,2024-12-29 21:57:57
아메리카노,2752,2024-12-30 15:47:57
케이크,20365,2024-12-30 15:06:57
아메리카노,22397,2024-12-29 22:03:57
카푸치노,16900,2024-12-29 20:47:57
케이크,1096,2024-12-29 21:23:57
카푸치노,6288,2024-12-29 19:31:57
아메리카노,26253,2024-12-29 21:15:57
카푸치노,27041,2024-12-30 01:41:57
아메리카노,3652,2024-12-30 07:11:57
케이크,6335,2024-12-30 09:45:57
케이크,23905,2024-12-30 08:38:57
카푸치노,23252,2024-12-29 18:07:57
아메리카노,17872,2024-12-30 11:47:57
케이크,4941,2024-12-30 05:58:57
아메리카노,19246,2024-12-30 14:48:57
아메리카노,15283,2024-12-30 17:06:57
아메리카노,18923,2024-12-30 07:09:57
케이크,26836,2024-12-30 16:26:57
케이크,29615,2024-12-30 14:20:57
카푸치노,14921,2024-12-29 19:26:57
케이크,21535,2024-12-30 09:20:57
카푸치노,4601,2024-12-30 03:07:57
카푸치노,15198,2024-12-30 15:50:57
아메리카노,12840,2024-12-30 13:05:57
아메리카노,22230,2024-12-29 20:44:57
카푸치노,28769,2024-12-30 15:46:57
케이크,7228,2024-12-30 03:41:57
카푸치노,11227,2024-12-30 08:50:57
케이크,15428,2024-12-30 09:50:57
아메리카노,21582,2024-12-30 16:05:57
아메리카노,22769,2024-12-30 01:43:57
카푸치노,5517,2024-12-30 14:52:57
카푸치노,6177,2024-12-29 22:50:57
아메리카노,27079,2024-12-30 12:44:57
카푸치노,21241,2024-12-30 10:20:57
케이크,1180,2024-12-30 08:43:57
카푸치노,26737,2024-12-29 20:25:57
아메리카노,24930,2024-12-29 18:59:57
아메리카노,25118,2024-12-30 15:46:57
카푸치노,14936,2024-12-30 10:58:57
카푸치노,6138,2024-12-30 08:04:57
카푸치노,19637,2024-12-30 16:20:57
아메리카노,1664,2024-12-30 14:45:57
카푸치노,27955,2024-12-29 20:52:57
케이크,7221,2024-12-30 11:06:57
아메리카노,9671,2024-12-30 07:19:57
아메리카노,2771,2024-12-30 13:48:57
아메리카노,21111,2024-12-30 01:34:57
케이크,25714,2024-12-30 11:16:57
카푸치노,24087,2024-12-29 18:05:57
케이크,25509,2024-12-30 09:55:57
카푸치노,17535,2024-12-30 17:04:57
카푸치노,14211,2024-12-30 16:48:57
아메리카노,2581,2024-12-29 23:13:57
카푸치노,27302,2024-12-29 18:53:57
케이크,14465,2024-12-30 06:54:57
카푸치노,10812,2024-12-30 10:03:57
케이크,26117,2024-12-29 23:17:57
아메리카노,2417,2024-12-29 17:53:57
아메리카노,5219,2024-12-29 23:44:57
아메리카노,9725,2024-12-30 00:35:57
아메리카노,15105,2024-12-30 00:48:57
아메리카노,6463,2024-12-29 22:17:57
카푸치노,22524,2024-12-30 09:40:57
카푸치노,23936,2024-12-30 08:10:57
아메리카노,23286,2024-12-29 19:29:57
아메리카노,10691,2024-12-29 18:08:57
아메리카노,6083,2024-12-29 21:52:57
카푸치노,22178,2024-12-30 08:48:57
케이크,25420,2024-12-30 12:32:57
케이크,22536,2024-12-30 07:05:57
케이크,8185,2024-12-30 11:51:57
케이크,23370,2024-12-30 17:16:57
카푸치노,11968,2024-12-30 14:38:57
카푸치노,23687,2024-12-30 07:26:57
아메리카노,5413,2024-12-30 00:07:57
케이크,27176,2024-12-29 21:50:57
아메리카노,11974,2024-12-30 08:09:57
케이크,15021,2024-12-30 01:04:57
아메리카노,17815,2024-12-29 23:51:57
아메리카노,13957,2024-12-30 00:19:57
아메리카노,12702,2024-12-29 21:52:57
카푸치노,26180,2024-12-30 16:23:57
카푸치노,2730,2024-12-29 23:26:57
아메리카노,14276,2024-12-29 22:24:57
카푸치노,11119,2024-12-30 03:25:57
카푸치노,25905,2024-12-30 15:25:57
아메리카노,5545,2024-12-29 22:37:57
카푸치노,24668,2024-12-30 15:17:57
아메리카노,23544,2024-12-30 08:26:57
카푸치노,29323,2024-12-30 08:16:57
케이크,10596,2024-12-29 23:59:57
카푸치노,15325,2024-12-30 00:38:57
카푸치노,28119,2024-12-30 14:35:57
카푸치노,15925,2024-12-29 21:21:57
