menu,price,order_time
떡볶이,28215,2024-12-30 03:11:56
떡볶이,21657,2024-12-29 19:23:56
김밥,29905,2024-12-30 10:46:56
김밥,18759,2024-12-30 11:05:56
떡볶이,6643,2024-12-29 22:16:56
김밥,7900,2024-12-30 03:17:56
만두,23065,2024-12-30 11:25:56
떡볶이,3249,2024-12-30 05:29:56
만두,22507,2024-12-30 15:38:56
떡볶이,5049,2024-12-30 12:36:56
김밥,3596,2024-12-30 07:27:56
만두,21518,2024-12-30 05:37:56
떡볶이,13056,2024-12-30 12:49:56
만두,27488,2024-12-30 02:10:56
김밥,1086,2024-12-30 10:16:56
만두,18840,2024-12-29 18:23:56
김밥,19202,2024-12-30 14:34:56
떡볶이,4872,2024-12-29 17:59:56
김밥,10490,2024-12-30 09:45:56
떡볶이,13550,2024-12-30 07:07:56
김밥,20081,2024-12-29 20:20:56
김밥,12692,2024-12-29 22:14:56
떡볶이,5318,2024-12-30 11:36:56
김밥,2145,2024-12-29 23:19:56
김밥,15057,2024-12-30 04:18:56
떡볶이,9847,2024-12-29 18:18:56
김밥,22538,2024-12-30 04:37:56
김밥,6024,2024-12-30 17:08:56
김밥,22231,2024-12-30 10:33:56
만두,10883,2024-12-29 20:10:56
떡볶이,16766,2024-12-30 00:05:56
김밥,24973,2024-12-30 12:43:56
만두,28793,2024-12-29 22:49:56
만두,29642,2024-12-30 15:23:56
김밥,12330,2024-12-30 04:19:56
김밥,17340,2024-12-30 13:21:56
김밥,18500,2024-12-30 12:27:56
만두,20502,2024-12-30 08:04:56
만두,15767,2024-12-29 20:38:56
만두,16370,2024-12-30 12:03:56
만두,6006,2024-12-29 17:45:56
김밥,12586,2024-12-30 10:21:56
만두,22066,2024-12-30 14:28:56
떡볶이,10505,2024-12-30 00:39:56
만두,23032,2024-12-30 12:30:56
김밥,6745,2024-12-30 00:11:56
떡볶이,4598,2024-12-30 06:25:56
만두,3469,2024-12-29 18:20:56
만두,1003,2024-12-30 14:13:56
만두,19061,2024-12-29 17:49:56
떡볶이,28420,2024-12-30 09:57:56
떡볶이,25019,2024-12-30 16:59:56
김밥,25180,2024-12-30 02:39:56
김밥,28094,2024-12-29 21:25:56
만두,11359,2024-12-30 12:34:56
떡볶이,5103,2024-12-30 00:17:56
떡볶이,24231,2024-12-30 14:40:56
김밥,15877,2024-12-29 22:27:56
만두,15647,2024-12-30 07:28:56
만두,26693,2024-12-30 01:02:56
만두,24182,2024-12-30 11:15:56
김밥,9399,2024-12-29 19:31:56
만두,20167,2024-12-30 08:52:56
만두,19518,2024-12-30 02:08:56
만두,22741,2024-12-30 10:06:56
김밥,26230,2024-12-30 04:08:56
김밥,7049,2024-12-30 10:57:56
떡볶이,15120,2024-12-30 07:01:56
떡볶이,12081,2024-12-30 13:23:56
만두,23261,2024-12-30 10:09:56
만두,14583,2024-12-29 22:50:56
떡볶이,25276,2024-12-29 22:15:56
만두,6519,2024-12-29 21:12:56
김밥,25556,2024-12-30 10:32:56
김밥,13207,2024-12-30 16:18:56
떡볶이,1740,2024-12-30 17:02:56
김밥,18411,2024-12-30 07:29:56
김밥,9469,2024-12-29 18:27:56
만두,3643,2024-12-30 03:44:56
떡볶이,21239,2024-12-30 10:45:56
떡볶이,27440,2024-12-29 23:04:56
김밥,11824,2024-12-29 18:24:56
김밥,16385,2024-12-30 03:26:56
떡볶이,7656,2024-12-30 08:09:56
떡볶이,20791,2024-12-30 01:59:56
김밥,10001,2024-12-30 10:42:56
떡볶이,25039,2024-12-29 22:59:56
만두,14540,2024-12-30 09:28:56
김밥,27948,2024-12-30 03:25:56
만두,9626,2024-12-30 07:10:56
김밥,26750,2024-12-29 18:51:56
김밥,6593,2024-12-29 20:47:56
김밥,20068,2024-12-29 20:19:56
만두,19521,2024-12-30 02:03:56
김밥,8631,2024-12-29 18:32:56
떡볶이,25772,2024-12-30 16:27:56
만두,9304,2024-12-30 02:14:56
김밥,18198,2024-12-30 03:16:56
떡볶이,7943,2024-12-30 02:09:56
떡볶이,8767,2024-12-30 02:59:56
