menu,price,order_time
김밥,25112,2024-12-30 13:30:57
만두,27893,2024-12-30 05:50:57
만두,24201,2024-12-29 18:36:57
만두,18814,2024-12-30 05:23:57
떡볶이,24503,2024-12-30 01:19:57
만두,26566,2024-12-30 01:53:57
떡볶이,28121,2024-12-30 04:18:57
김밥,4808,2024-12-29 20:41:57
떡볶이,16246,2024-12-30 13:10:57
만두,25751,2024-12-29 17:27:57
김밥,8088,2024-12-30 14:00:57
김밥,19623,2024-12-30 03:26:57
만두,26403,2024-12-30 05:15:57
만두,7832,2024-12-29 23:47:57
김밥,15891,2024-12-29 22:09:57
떡볶이,12547,2024-12-30 02:54:57
떡볶이,7155,2024-12-30 06:31:57
김밥,11869,2024-12-30 08:36:57
떡볶이,5576,2024-12-29 19:05:57
김밥,17906,2024-12-30 02:13:57
만두,17625,2024-12-30 15:42:57
만두,4103,2024-12-30 16:36:57
김밥,6028,2024-12-30 16:29:57
김밥,2387,2024-12-30 02:37:57
김밥,27743,2024-12-30 08:47:57
떡볶이,1417,2024-12-30 15:48:57
떡볶이,26051,2024-12-30 13:52:57
김밥,16631,2024-12-30 03:24:57
김밥,10274,2024-12-30 06:59:57
김밥,3347,2024-12-30 06:53:57
만두,19009,2024-12-30 14:26:57
만두,14502,2024-12-30 16:34:57
만두,27229,2024-12-29 19:51:57
만두,7682,2024-12-30 04:29:57
떡볶이,29221,2024-12-30 00:20:57
만두,17068,2024-12-30 01:15:57
만두,4949,2024-12-30 11:09:57
만두,4921,2024-12-30 06:34:57
만두,11409,2024-12-30 11:57:57
김밥,25450,2024-12-30 15:13:57
김밥,21420,2024-12-30 08:31:57
김밥,22970,2024-12-30 11:18:57
떡볶이,12072,2024-12-30 03:18:57
만두,29426,2024-12-30 03:06:57
김밥,11009,2024-12-30 10:26:57
김밥,12915,2024-12-30 00:02:57
떡볶이,19039,2024-12-30 06:53:57
김밥,24845,2024-12-29 20:09:57
떡볶이,11938,2024-12-30 12:10:57
만두,2955,2024-12-29 19:36:57
만두,21763,2024-12-29 20:15:57
김밥,18736,2024-12-30 04:50:57
만두,26863,2024-12-30 03:07:57
만두,19657,2024-12-30 16:02:57
떡볶이,17287,2024-12-30 15:35:57
김밥,4300,2024-12-29 21:47:57
떡볶이,8361,2024-12-29 19:44:57
떡볶이,10683,2024-12-30 08:34:57
떡볶이,6050,2024-12-30 11:57:57
김밥,8068,2024-12-30 04:24:57
김밥,12335,2024-12-29 23:29:57
김밥,11903,2024-12-30 03:26:57
김밥,19144,2024-12-30 14:46:57
떡볶이,29923,2024-12-29 17:39:57
떡볶이,18759,2024-12-30 08:13:57
떡볶이,14407,2024-12-30 05:32:57
김밥,5638,2024-12-30 13:03:57
김밥,2425,2024-12-30 05:50:57
떡볶이,7401,2024-12-30 12:57:57
만두,25764,2024-12-29 17:25:57
떡볶이,10373,2024-12-30 11:34:57
떡볶이,26518,2024-12-29 22:11:57
김밥,15368,2024-12-29 19:18:57
만두,28834,2024-12-29 21:23:57
만두,5471,2024-12-30 10:38:57
만두,13639,2024-12-30 10:12:57
김밥,10394,2024-12-30 09:40:57
떡볶이,3811,2024-12-29 19:46:57
만두,23912,2024-12-30 15:41:57
떡볶이,23923,2024-12-30 07:37:57
떡볶이,25248,2024-12-29 17:56:57
김밥,14835,2024-12-30 06:45:57
떡볶이,12729,2024-12-30 13:19:57
떡볶이,15995,2024-12-30 08:55:57
김밥,29946,2024-12-30 08:49:57
만두,17437,2024-12-30 08:43:57
떡볶이,9517,2024-12-30 05:00:57
만두,26053,2024-12-29 20:57:57
김밥,21681,2024-12-30 16:37:57
김밥,22024,2024-12-30 14:10:57
만두,12603,2024-12-29 20:35:57
떡볶이,18218,2024-12-30 13:35:57
만두,19605,2024-12-30 10:08:57
김밥,28232,2024-12-30 14:56:57
떡볶이,12320,2024-12-30 11:54:57
만두,13266,2024-12-30 03:42:57
떡볶이,17147,2024-12-29 20:00:57
김밥,6606,2024-12-30 10:03:57
떡볶이,24072,2024-12-30 00:40:57
만두,20932,2024-12-30 10:29:57
