menu,price,order_time
참치회,14375,2024-12-29 17:45:56
광어회,6336,2024-12-29 18:29:56
참치회,10315,2024-12-29 23:29:56
참치회,29854,2024-12-30 08:30:56
연어초밥,25151,2024-12-29 20:40:56
광어회,5493,2024-12-29 23:30:56
광어회,9743,2024-12-30 17:11:56
연어초밥,10771,2024-12-30 00:11:56
연어초밥,26897,2024-12-30 04:36:56
연어초밥,21982,2024-12-30 09:10:56
참치회,27590,2024-12-30 14:28:56
연어초밥,3652,2024-12-30 03:46:56
참치회,2127,2024-12-30 03:29:56
연어초밥,29394,2024-12-30 09:44:56
참치회,22045,2024-12-30 13:37:56
광어회,12616,2024-12-30 16:37:56
광어회,9529,2024-12-30 00:06:56
연어초밥,24154,2024-12-29 22:04:56
광어회,26449,2024-12-30 14:01:56
광어회,12369,2024-12-30 06:48:56
연어초밥,10162,2024-12-30 15:14:56
광어회,15977,2024-12-30 08:14:56
참치회,15944,2024-12-30 08:40:56
참치회,2992,2024-12-29 17:51:56
광어회,7935,2024-12-30 00:30:56
연어초밥,18683,2024-12-29 19:17:56
참치회,15487,2024-12-30 09:20:56
광어회,17702,2024-12-30 16:01:56
연어초밥,23366,2024-12-30 16:53:56
연어초밥,27799,2024-12-30 08:44:56
참치회,29091,2024-12-30 08:23:56
연어초밥,8784,2024-12-30 00:49:56
연어초밥,3912,2024-12-30 10:16:56
연어초밥,10024,2024-12-30 04:28:56
연어초밥,16539,2024-12-30 11:20:56
연어초밥,7988,2024-12-30 06:07:56
참치회,5544,2024-12-30 14:58:56
광어회,18694,2024-12-30 04:14:56
연어초밥,20935,2024-12-30 15:55:56
광어회,22692,2024-12-30 00:22:56
연어초밥,23032,2024-12-30 16:54:56
연어초밥,26957,2024-12-30 05:21:56
참치회,19581,2024-12-30 17:06:56
연어초밥,22777,2024-12-29 17:50:56
참치회,19984,2024-12-30 06:05:56
연어초밥,17058,2024-12-30 08:31:56
연어초밥,28583,2024-12-30 01:23:56
광어회,3724,2024-12-30 00:38:56
참치회,9111,2024-12-29 22:55:56
광어회,25494,2024-12-30 03:14:56
참치회,12416,2024-12-30 16:28:56
연어초밥,12754,2024-12-30 01:32:56
광어회,29083,2024-12-30 16:38:56
연어초밥,20579,2024-12-29 19:22:56
연어초밥,27436,2024-12-30 03:58:56
광어회,28447,2024-12-30 03:42:56
광어회,16104,2024-12-30 07:07:56
연어초밥,22186,2024-12-30 11:37:56
연어초밥,12140,2024-12-30 08:36:56
참치회,18224,2024-12-30 07:24:56
광어회,15867,2024-12-30 02:30:56
연어초밥,20874,2024-12-30 09:37:56
광어회,1203,2024-12-30 10:35:56
참치회,25583,2024-12-30 14:46:56
광어회,6605,2024-12-30 09:57:56
참치회,3041,2024-12-30 04:19:56
연어초밥,12727,2024-12-29 17:57:56
참치회,9051,2024-12-30 06:56:56
연어초밥,18996,2024-12-30 04:46:56
연어초밥,26751,2024-12-29 20:02:56
참치회,11294,2024-12-29 18:58:56
연어초밥,29229,2024-12-30 04:03:56
연어초밥,8773,2024-12-29 18:39:56
광어회,8961,2024-12-29 22:38:56
참치회,10876,2024-12-30 13:20:56
참치회,17840,2024-12-30 02:03:56
광어회,2211,2024-12-30 03:54:56
연어초밥,17395,2024-12-30 00:24:56
광어회,13481,2024-12-30 11:02:56
연어초밥,9639,2024-12-30 06:21:56
참치회,9563,2024-12-29 22:58:56
광어회,8467,2024-12-30 12:14:56
광어회,19479,2024-12-30 10:36:56
참치회,3479,2024-12-30 03:05:56
연어초밥,29472,2024-12-30 03:31:56
광어회,7430,2024-12-30 00:11:56
광어회,15581,2024-12-29 21:32:56
참치회,25676,2024-12-30 16:41:56
참치회,18215,2024-12-30 14:56:56
참치회,3574,2024-12-30 03:22:56
참치회,5317,2024-12-30 10:35:56
연어초밥,17768,2024-12-30 14:11:56
광어회,16551,2024-12-29 17:50:56
참치회,3715,2024-12-30 02:31:56
연어초밥,27240,2024-12-30 15:29:56
광어회,28064,2024-12-30 05:28:56
참치회,19602,2024-12-30 16:17:56
연어초밥,5627,2024-12-30 14:58:56
참치회,5296,2024-12-30 02:24:56
연어초밥,22465,2024-12-30 08:06:56
