menu,price,order_time
참치회,20849,2024-12-30 01:09:56
연어초밥,25142,2024-12-30 06:16:56
광어회,20800,2024-12-29 18:43:56
참치회,5056,2024-12-30 16:58:56
광어회,26654,2024-12-30 12:39:56
광어회,1872,2024-12-30 03:09:56
광어회,7764,2024-12-30 15:47:56
광어회,5489,2024-12-29 20:11:56
참치회,13771,2024-12-30 12:33:56
연어초밥,18982,2024-12-30 08:15:56
광어회,7766,2024-12-29 19:39:56
광어회,14359,2024-12-29 23:05:56
참치회,1071,2024-12-29 20:50:56
연어초밥,16894,2024-12-30 07:51:56
광어회,6665,2024-12-29 18:19:56
광어회,18278,2024-12-30 08:25:56
광어회,11689,2024-12-30 16:44:56
참치회,1631,2024-12-29 20:54:56
연어초밥,19234,2024-12-30 05:34:56
참치회,6838,2024-12-29 19:46:56
연어초밥,4101,2024-12-30 07:02:56
참치회,10898,2024-12-29 18:51:56
참치회,2776,2024-12-30 01:32:56
광어회,8403,2024-12-30 11:48:56
참치회,3777,2024-12-30 04:37:56
광어회,2671,2024-12-29 19:26:56
참치회,15664,2024-12-29 22:06:56
연어초밥,15328,2024-12-30 11:10:56
참치회,11654,2024-12-30 09:04:56
광어회,20541,2024-12-30 14:50:56
참치회,17807,2024-12-29 20:42:56
연어초밥,2487,2024-12-30 11:30:56
광어회,20313,2024-12-29 23:19:56
광어회,24077,2024-12-30 14:32:56
광어회,14169,2024-12-30 06:56:56
연어초밥,17352,2024-12-30 16:59:56
연어초밥,12595,2024-12-30 10:41:56
광어회,22343,2024-12-30 08:16:56
연어초밥,28031,2024-12-30 01:53:56
광어회,4829,2024-12-29 22:54:56
광어회,13062,2024-12-30 11:20:56
광어회,2786,2024-12-30 07:34:56
연어초밥,2539,2024-12-30 16:41:56
광어회,10579,2024-12-29 17:34:56
광어회,1248,2024-12-29 22:38:56
연어초밥,18009,2024-12-29 19:50:56
연어초밥,26776,2024-12-30 12:38:56
참치회,29521,2024-12-30 15:41:56
참치회,7674,2024-12-30 08:52:56
광어회,5672,2024-12-30 08:50:56
연어초밥,7910,2024-12-30 03:47:56
참치회,19909,2024-12-30 14:24:56
연어초밥,24411,2024-12-30 14:15:56
연어초밥,5301,2024-12-30 01:22:56
연어초밥,15023,2024-12-29 23:16:56
참치회,4396,2024-12-30 12:28:56
연어초밥,27320,2024-12-30 04:10:56
광어회,2113,2024-12-30 16:32:56
광어회,29463,2024-12-30 12:38:56
광어회,21971,2024-12-30 14:59:56
광어회,20703,2024-12-30 05:10:56
참치회,17713,2024-12-30 14:35:56
참치회,21629,2024-12-30 00:26:56
광어회,27498,2024-12-30 17:12:56
광어회,6360,2024-12-29 18:30:56
광어회,10007,2024-12-30 10:27:56
광어회,25963,2024-12-30 14:39:56
연어초밥,2723,2024-12-30 10:14:56
참치회,6378,2024-12-30 05:13:56
광어회,10585,2024-12-29 23:17:56
참치회,19899,2024-12-29 19:24:56
광어회,18010,2024-12-30 13:43:56
참치회,22569,2024-12-30 16:40:56
연어초밥,27540,2024-12-30 00:21:56
참치회,26096,2024-12-29 18:45:56
연어초밥,9154,2024-12-30 12:36:56
광어회,27737,2024-12-29 18:27:56
연어초밥,28819,2024-12-30 12:49:56
광어회,9398,2024-12-29 20:55:56
참치회,10406,2024-12-30 09:38:56
연어초밥,20787,2024-12-30 11:04:56
연어초밥,10982,2024-12-30 13:56:56
연어초밥,25185,2024-12-29 17:53:56
참치회,21468,2024-12-29 18:52:56
참치회,23092,2024-12-29 20:20:56
광어회,11892,2024-12-29 23:03:56
참치회,14162,2024-12-30 04:37:56
참치회,21849,2024-12-29 20:53:56
연어초밥,29616,2024-12-29 21:24:56
참치회,3233,2024-12-30 06:04:56
연어초밥,1127,2024-12-30 15:14:56
광어회,9264,2024-12-30 07:53:56
광어회,4262,2024-12-29 17:31:56
광어회,11716,2024-12-30 03:16:56
광어회,25711,2024-12-30 15:19:56
광어회,19460,2024-12-30 01:25:56
참치회,17941,2024-12-30 14:49:56
연어초밥,22299,2024-12-30 08:19:56
참치회,27086,2024-12-29 23:39:56
참치회,15099,2024-12-30 02:30:56
